method,k,has_abstract,n_query_document_pairs,n_judged,n_unjudged,retrieved_share,n_observed_relevant_strict,n_observed_relevant_relaxed,pooled_judged_fraction,pooled_hole_fraction,pooled_observed_precision_strict,pooled_observed_precision_relaxed
bm25,20,0,38,24,14,0.038,14,16,0.631578947368,0.368421052632,0.368421052632,0.421052631579
bm25,20,1,962,904,58,0.962,473,626,0.939708939709,0.0602910602911,0.491683991684,0.650727650728
bm25,50,0,138,83,55,0.0552,45,59,0.601449275362,0.398550724638,0.326086956522,0.427536231884
bm25,50,1,2362,2083,279,0.9448,1009,1394,0.881879762913,0.118120237087,0.427180355631,0.590177815411
bm25,100,0,322,209,113,0.0644,115,154,0.649068322981,0.350931677019,0.357142857143,0.478260869565
bm25,100,1,4678,3811,867,0.9356,1741,2440,0.81466438649,0.18533561351,0.372167592988,0.521590423258
bm25,1000,0,3737,1123,2614,0.07474,637,870,0.300508429221,0.699491570779,0.170457586299,0.23280706449
bm25,1000,1,46263,17487,28776,0.92526,6656,10141,0.377991051164,0.622008948836,0.143873073514,0.219203250978
mpnet,20,0,642,293,349,0.642,194,258,0.456386292835,0.543613707165,0.302180685358,0.401869158879
mpnet,20,1,358,304,54,0.358,232,268,0.849162011173,0.150837988827,0.648044692737,0.748603351955
mpnet,50,0,1438,539,899,0.5752,349,450,0.374826147427,0.625173852573,0.242698191933,0.312934631433
mpnet,50,1,1062,851,211,0.4248,609,738,0.80131826742,0.19868173258,0.573446327684,0.694915254237
mpnet,100,0,2631,769,1862,0.5262,480,624,0.292284302547,0.707715697453,0.18244013683,0.237172177879
mpnet,100,1,2369,1772,597,0.4738,1262,1529,0.747994934572,0.252005065428,0.532714225412,0.645420008442
mpnet,1000,0,21323,2190,19133,0.42646,1092,1558,0.102705998218,0.897294001782,0.0512123059607,0.0730666416546
mpnet,1000,1,28677,11035,17642,0.57354,6080,8422,0.384803152352,0.615196847648,0.212016598668,0.293684834536
direct,20,0,125,93,32,0.125,64,77,0.744,0.256,0.512,0.616
direct,20,1,875,853,22,0.875,566,720,0.974857142857,0.0251428571429,0.646857142857,0.822857142857
direct,50,0,330,235,95,0.132,159,196,0.712121212121,0.287878787879,0.481818181818,0.593939393939
direct,50,1,2170,2056,114,0.868,1266,1650,0.947465437788,0.052534562212,0.583410138249,0.760368663594
direct,100,0,729,461,268,0.1458,284,374,0.632373113855,0.367626886145,0.389574759945,0.513031550069
direct,100,1,4271,3807,464,0.8542,2160,2878,0.891360337158,0.108639662842,0.505736361508,0.673846874268
direct,1000,0,8831,1780,7051,0.17662,940,1315,0.201562676934,0.798437323066,0.106443211414,0.148907258521
direct,1000,1,41169,18438,22731,0.82338,7775,11671,0.447861254828,0.552138745172,0.18885569239,0.283490004615
