method,query_id,k,n_retrieved,n_judged,n_unjudged,n_explicit_minus1,judged_fraction,hole_fraction
bm25,1,20,20,17,3,0,0.85,0.15
bm25,2,20,20,19,1,0,0.95,0.05
bm25,3,20,20,18,2,0,0.9,0.1
bm25,4,20,20,20,0,0,1,0
bm25,5,20,20,18,2,0,0.9,0.1
bm25,6,20,20,19,1,0,0.95,0.05
bm25,7,20,20,20,0,0,1,0
bm25,8,20,20,15,5,0,0.75,0.25
bm25,9,20,20,20,0,0,1,0
bm25,10,20,20,20,0,0,1,0
bm25,11,20,20,18,2,0,0.9,0.1
bm25,12,20,20,16,4,0,0.8,0.2
bm25,13,20,20,19,1,0,0.95,0.05
bm25,14,20,20,20,0,0,1,0
bm25,15,20,20,14,6,0,0.7,0.3
bm25,16,20,20,17,3,0,0.85,0.15
bm25,17,20,20,18,2,0,0.9,0.1
bm25,18,20,20,20,0,0,1,0
bm25,19,20,20,20,0,0,1,0
bm25,20,20,20,18,2,0,0.9,0.1
bm25,21,20,20,18,2,0,0.9,0.1
bm25,22,20,20,16,4,0,0.8,0.2
bm25,23,20,20,19,1,0,0.95,0.05
bm25,24,20,20,18,2,0,0.9,0.1
bm25,25,20,20,15,5,0,0.75,0.25
bm25,26,20,20,17,3,0,0.85,0.15
bm25,27,20,20,18,2,0,0.9,0.1
bm25,28,20,20,20,0,0,1,0
bm25,29,20,20,20,0,0,1,0
bm25,30,20,20,20,0,0,1,0
bm25,31,20,20,19,1,0,0.95,0.05
bm25,32,20,20,20,0,0,1,0
bm25,33,20,20,20,0,0,1,0
bm25,34,20,20,14,6,0,0.7,0.3
bm25,35,20,20,20,0,0,1,0
bm25,36,20,20,20,0,0,1,0
bm25,37,20,20,20,0,0,1,0
bm25,38,20,20,20,0,0,1,0
bm25,39,20,20,20,0,0,1,0
bm25,40,20,20,20,0,0,1,0
bm25,41,20,20,20,0,0,1,0
bm25,42,20,20,20,0,0,1,0
bm25,43,20,20,20,0,0,1,0
bm25,44,20,20,19,1,0,0.95,0.05
bm25,45,20,20,19,1,0,0.95,0.05
bm25,46,20,20,20,0,0,1,0
bm25,47,20,20,14,6,0,0.7,0.3
bm25,48,20,20,17,3,0,0.85,0.15
bm25,49,20,20,19,1,0,0.95,0.05
bm25,50,20,20,20,0,0,1,0
bm25,1,50,50,32,18,0,0.64,0.36
bm25,2,50,50,49,1,0,0.98,0.02
bm25,3,50,50,43,7,0,0.86,0.14
bm25,4,50,50,39,11,0,0.78,0.22
bm25,5,50,50,41,9,0,0.82,0.18
bm25,6,50,50,39,11,0,0.78,0.22
bm25,7,50,50,46,4,0,0.92,0.08
bm25,8,50,50,33,17,0,0.66,0.34
bm25,9,50,50,48,2,0,0.96,0.04
bm25,10,50,50,45,5,0,0.9,0.1
bm25,11,50,50,43,7,0,0.86,0.14
bm25,12,50,50,39,11,0,0.78,0.22
bm25,13,50,50,46,4,0,0.92,0.08
bm25,14,50,50,50,0,0,1,0
bm25,15,50,50,32,18,0,0.64,0.36
bm25,16,50,50,36,14,0,0.72,0.28
bm25,17,50,50,43,7,0,0.86,0.14
bm25,18,50,50,49,1,0,0.98,0.02
bm25,19,50,50,48,2,0,0.96,0.04
bm25,20,50,50,45,5,0,0.9,0.1
bm25,21,50,50,46,4,0,0.92,0.08
bm25,22,50,50,37,13,0,0.74,0.26
bm25,23,50,50,42,8,0,0.84,0.16
bm25,24,50,50,46,4,0,0.92,0.08
bm25,25,50,50,31,19,0,0.62,0.38
bm25,26,50,50,35,15,0,0.7,0.3
bm25,27,50,50,46,4,0,0.92,0.08
bm25,28,50,50,46,4,0,0.92,0.08
bm25,29,50,50,50,0,0,1,0
bm25,30,50,50,48,2,0,0.96,0.04
bm25,31,50,50,49,1,0,0.98,0.02
bm25,32,50,50,50,0,0,1,0
bm25,33,50,50,47,3,0,0.94,0.06
bm25,34,50,50,23,27,0,0.46,0.54
bm25,35,50,50,46,4,0,0.92,0.08
bm25,36,50,50,50,0,0,1,0
bm25,37,50,50,50,0,0,1,0
bm25,38,50,50,45,5,0,0.9,0.1
bm25,39,50,50,50,0,0,1,0
bm25,40,50,50,50,0,0,1,0
bm25,41,50,50,48,2,0,0.96,0.04
bm25,42,50,50,50,0,0,1,0
bm25,43,50,50,50,0,0,1,0
bm25,44,50,50,45,5,0,0.9,0.1
bm25,45,50,50,46,4,0,0.92,0.08
bm25,46,50,50,50,0,0,1,0
bm25,47,50,50,30,20,0,0.6,0.4
bm25,48,50,50,28,22,0,0.56,0.44
bm25,49,50,50,46,4,0,0.92,0.08
bm25,50,50,50,40,10,0,0.8,0.2
bm25,1,100,100,54,46,0,0.54,0.46
bm25,2,100,100,78,22,0,0.78,0.22
bm25,3,100,100,78,22,0,0.78,0.22
bm25,4,100,100,69,31,0,0.69,0.31
bm25,5,100,100,71,29,0,0.71,0.29
bm25,6,100,100,67,33,0,0.67,0.33
bm25,7,100,100,88,12,0,0.88,0.12
bm25,8,100,100,61,39,0,0.61,0.39
bm25,9,100,100,88,12,0,0.88,0.12
bm25,10,100,100,89,11,0,0.89,0.11
bm25,11,100,100,85,15,0,0.85,0.15
bm25,12,100,100,78,22,0,0.78,0.22
bm25,13,100,100,77,23,0,0.77,0.23
bm25,14,100,100,96,4,0,0.96,0.04
bm25,15,100,100,49,51,0,0.49,0.51
bm25,16,100,100,62,38,0,0.62,0.38
bm25,17,100,100,78,22,0,0.78,0.22
bm25,18,100,100,88,12,0,0.88,0.12
bm25,19,100,100,83,17,0,0.83,0.17
bm25,20,100,100,90,10,0,0.9,0.1
bm25,21,100,100,79,21,0,0.79,0.21
bm25,22,100,100,73,27,0,0.73,0.27
bm25,23,100,100,68,32,0,0.68,0.32
bm25,24,100,100,84,16,0,0.84,0.16
bm25,25,100,100,66,34,0,0.66,0.34
bm25,26,100,100,62,38,0,0.62,0.38
bm25,27,100,100,90,10,0,0.9,0.1
bm25,28,100,100,84,16,0,0.84,0.16
bm25,29,100,100,96,4,0,0.96,0.04
bm25,30,100,100,94,6,0,0.94,0.06
bm25,31,100,100,98,2,0,0.98,0.02
bm25,32,100,100,78,22,0,0.78,0.22
bm25,33,100,100,84,16,0,0.84,0.16
bm25,34,100,100,49,51,0,0.49,0.51
bm25,35,100,100,84,16,0,0.84,0.16
bm25,36,100,100,98,2,0,0.98,0.02
bm25,37,100,100,99,1,0,0.99,0.01
bm25,38,100,100,85,15,0,0.85,0.15
bm25,39,100,100,100,0,0,1,0
bm25,40,100,100,99,1,0,0.99,0.01
bm25,41,100,100,97,3,0,0.97,0.03
bm25,42,100,100,95,5,0,0.95,0.05
bm25,43,100,100,99,1,0,0.99,0.01
bm25,44,100,100,88,12,0,0.88,0.12
bm25,45,100,100,90,10,0,0.9,0.1
bm25,46,100,100,87,13,0,0.87,0.13
bm25,47,100,100,60,40,0,0.6,0.4
bm25,48,100,100,52,48,0,0.52,0.48
bm25,49,100,100,77,23,0,0.77,0.23
bm25,50,100,100,76,24,0,0.76,0.24
bm25,1,1000,1000,327,673,0,0.327,0.673
bm25,2,1000,1000,203,797,0,0.203,0.797
bm25,3,1000,1000,402,598,0,0.402,0.598
bm25,4,1000,1000,294,706,0,0.294,0.706
bm25,5,1000,1000,421,579,0,0.421,0.579
bm25,6,1000,1000,378,622,0,0.378,0.622
bm25,7,1000,1000,503,497,0,0.503,0.497
bm25,8,1000,1000,264,736,0,0.264,0.736
bm25,9,1000,1000,292,708,0,0.292,0.708
bm25,10,1000,1000,430,570,0,0.43,0.57
