method,k,n_queries,n_retrieved,n_judged,n_unjudged,n_explicit_minus1,mean_judged_fraction,mean_hole_fraction
bm25,20,50,1000,928,72,0,0.928,0.072
bm25,50,50,2500,2166,334,0,0.8664,0.1336
bm25,100,50,5000,4020,980,0,0.804,0.196
bm25,1000,50,50000,18610,31390,0,0.3722,0.6278
mpnet,20,50,1000,597,403,0,0.597,0.403
mpnet,50,50,2500,1390,1110,0,0.556,0.444
mpnet,100,50,5000,2541,2459,0,0.5082,0.4918
mpnet,1000,50,50000,13225,36775,0,0.2645,0.7355
direct,20,50,1000,946,54,0,0.946,0.054
direct,50,50,2500,2291,209,0,0.9164,0.0836
direct,100,50,5000,4268,732,0,0.8536,0.1464
direct,1000,50,50000,20218,29782,0,0.40436,0.59564
