method,query_id,k,bm25_candidate_depth,stratum,n_pairs,n_judged,n_unjudged,retrieved_fraction,judged_fraction
mpnet,1,20,1000,in_bm25_top1000,2,2,0,0.1,1
mpnet,1,20,1000,outside_bm25_top1000,18,0,18,0.9,0
mpnet,2,20,1000,in_bm25_top1000,0,0,0,0,
mpnet,2,20,1000,outside_bm25_top1000,20,2,18,1,0.1
mpnet,3,20,1000,in_bm25_top1000,4,3,1,0.2,0.75
mpnet,3,20,1000,outside_bm25_top1000,16,2,14,0.8,0.125
mpnet,4,20,1000,in_bm25_top1000,7,5,2,0.35,0.714285714286
mpnet,4,20,1000,outside_bm25_top1000,13,5,8,0.65,0.384615384615
mpnet,5,20,1000,in_bm25_top1000,7,4,3,0.35,0.571428571429
mpnet,5,20,1000,outside_bm25_top1000,13,4,9,0.65,0.307692307692
mpnet,6,20,1000,in_bm25_top1000,6,6,0,0.3,1
mpnet,6,20,1000,outside_bm25_top1000,14,5,9,0.7,0.357142857143
mpnet,7,20,1000,in_bm25_top1000,5,3,2,0.25,0.6
mpnet,7,20,1000,outside_bm25_top1000,15,7,8,0.75,0.466666666667
mpnet,8,20,1000,in_bm25_top1000,4,2,2,0.2,0.5
mpnet,8,20,1000,outside_bm25_top1000,16,7,9,0.8,0.4375
mpnet,9,20,1000,in_bm25_top1000,13,11,2,0.65,0.846153846154
mpnet,9,20,1000,outside_bm25_top1000,7,2,5,0.35,0.285714285714
mpnet,10,20,1000,in_bm25_top1000,20,13,7,1,0.65
mpnet,10,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,11,20,1000,in_bm25_top1000,8,5,3,0.4,0.625
mpnet,11,20,1000,outside_bm25_top1000,12,3,9,0.6,0.25
mpnet,12,20,1000,in_bm25_top1000,2,2,0,0.1,1
mpnet,12,20,1000,outside_bm25_top1000,18,3,15,0.9,0.166666666667
mpnet,13,20,1000,in_bm25_top1000,2,2,0,0.1,1
mpnet,13,20,1000,outside_bm25_top1000,18,2,16,0.9,0.111111111111
mpnet,14,20,1000,in_bm25_top1000,10,9,1,0.5,0.9
mpnet,14,20,1000,outside_bm25_top1000,10,3,7,0.5,0.3
mpnet,15,20,1000,in_bm25_top1000,1,1,0,0.05,1
mpnet,15,20,1000,outside_bm25_top1000,19,1,18,0.95,0.0526315789474
mpnet,16,20,1000,in_bm25_top1000,16,16,0,0.8,1
mpnet,16,20,1000,outside_bm25_top1000,4,3,1,0.2,0.75
mpnet,17,20,1000,in_bm25_top1000,17,10,7,0.85,0.588235294118
mpnet,17,20,1000,outside_bm25_top1000,3,0,3,0.15,0
mpnet,18,20,1000,in_bm25_top1000,20,15,5,1,0.75
mpnet,18,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,19,20,1000,in_bm25_top1000,12,12,0,0.6,1
mpnet,19,20,1000,outside_bm25_top1000,8,5,3,0.4,0.625
mpnet,20,20,1000,in_bm25_top1000,20,19,1,1,0.95
mpnet,20,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,21,20,1000,in_bm25_top1000,4,4,0,0.2,1
mpnet,21,20,1000,outside_bm25_top1000,16,2,14,0.8,0.125
mpnet,22,20,1000,in_bm25_top1000,15,12,3,0.75,0.8
mpnet,22,20,1000,outside_bm25_top1000,5,2,3,0.25,0.4
mpnet,23,20,1000,in_bm25_top1000,20,17,3,1,0.85
mpnet,23,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,24,20,1000,in_bm25_top1000,16,12,4,0.8,0.75
mpnet,24,20,1000,outside_bm25_top1000,4,1,3,0.2,0.25
mpnet,25,20,1000,in_bm25_top1000,14,6,8,0.7,0.428571428571
mpnet,25,20,1000,outside_bm25_top1000,6,4,2,0.3,0.666666666667
mpnet,26,20,1000,in_bm25_top1000,5,2,3,0.25,0.4
mpnet,26,20,1000,outside_bm25_top1000,15,1,14,0.75,0.0666666666667
mpnet,27,20,1000,in_bm25_top1000,18,16,2,0.9,0.888888888889
mpnet,27,20,1000,outside_bm25_top1000,2,0,2,0.1,0
mpnet,28,20,1000,in_bm25_top1000,20,10,10,1,0.5
mpnet,28,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,29,20,1000,in_bm25_top1000,10,9,1,0.5,0.9
mpnet,29,20,1000,outside_bm25_top1000,10,4,6,0.5,0.4
mpnet,30,20,1000,in_bm25_top1000,20,15,5,1,0.75
mpnet,30,20,1000,outside_bm25_top1000,0,0,0,0,
mpnet,31,20,1000,in_bm25_top1000,1,1,0,0.05,1
mpnet,31,20,1000,outside_bm25_top1000,19,1,18,0.95,0.0526315789474
