method,k,bm25_candidate_depth,stratum,n_queries,n_nonempty_queries,n_pairs,n_judged,n_unjudged,mean_retrieved_fraction,pooled_judged_fraction,macro_nonempty_judged_fraction
mpnet,20,1000,in_bm25_top1000,50,49,559,478,81,0.559,0.855098389982,0.846574579321
mpnet,20,1000,outside_bm25_top1000,50,40,441,119,322,0.441,0.269841269841,0.343772866603
mpnet,50,1000,in_bm25_top1000,50,50,1261,1061,200,0.5044,0.841395717684,0.82140929788
mpnet,50,1000,outside_bm25_top1000,50,47,1239,329,910,0.4956,0.265536723164,0.339984977293
mpnet,100,1000,in_bm25_top1000,50,50,2318,1931,387,0.4636,0.833045729077,0.807110842561
mpnet,100,1000,outside_bm25_top1000,50,49,2682,610,2072,0.5364,0.227442207308,0.292985399851
mpnet,1000,1000,in_bm25_top1000,50,50,11915,8195,3720,0.2383,0.687788501888,0.69070870366
mpnet,1000,1000,outside_bm25_top1000,50,50,38085,5030,33055,0.7617,0.132072994617,0.138603319264
direct,20,1000,in_bm25_top1000,50,50,996,945,51,0.996,0.948795180723,0.948409356725
direct,20,1000,outside_bm25_top1000,50,3,4,1,3,0.004,0.25,0.333333333333
direct,50,1000,in_bm25_top1000,50,50,2472,2283,189,0.9888,0.92354368932,0.923154761905
direct,50,1000,outside_bm25_top1000,50,6,28,8,20,0.0112,0.285714285714,0.525
direct,100,1000,in_bm25_top1000,50,50,4880,4221,659,0.976,0.864959016393,0.863957798524
direct,100,1000,outside_bm25_top1000,50,19,120,47,73,0.024,0.391666666667,0.668207912945
direct,1000,1000,in_bm25_top1000,50,50,35598,16950,18648,0.71196,0.476150345525,0.472153250832
direct,1000,1000,outside_bm25_top1000,50,50,14402,3268,11134,0.28804,0.22691292876,0.243472206388
direct_minmax,20,1000,in_bm25_top1000,50,50,995,942,53,0.995,0.946733668342,0.946403508772
direct_minmax,20,1000,outside_bm25_top1000,50,3,5,1,4,0.005,0.2,0.333333333333
direct_minmax,50,1000,in_bm25_top1000,50,50,2469,2268,201,0.9876,0.918590522479,0.918032243051
direct_minmax,50,1000,outside_bm25_top1000,50,7,31,9,22,0.0124,0.290322580645,0.520408163265
