method,k,n_queries,n_retrieved,n_judged,n_unjudged,n_explicit_minus1,mean_judged_fraction,mean_hole_fraction
bm25,20,50,1000,928,72,0,0.928,0.072
bm25,50,50,2500,2166,334,0,0.8664,0.1336
bm25,100,50,5000,4020,980,0,0.804,0.196
bm25,1000,50,50000,18610,31390,0,0.3722,0.6278
mpnet,20,50,1000,597,403,0,0.597,0.403
mpnet,50,50,2500,1390,1110,0,0.556,0.444
mpnet,100,50,5000,2541,2459,0,0.5082,0.4918
mpnet,1000,50,50000,13225,36775,0,0.2645,0.7355
direct,20,50,1000,946,54,0,0.946,0.054
direct,50,50,2500,2291,209,0,0.9164,0.0836
direct,100,50,5000,4268,732,0,0.8536,0.1464
direct,1000,50,50000,20218,29782,0,0.40436,0.59564
direct_minmax,20,50,1000,943,57,0,0.943,0.057
direct_minmax,50,50,2500,2277,223,0,0.9108,0.0892
direct_minmax,100,50,5000,4246,754,0,0.8492,0.1508
direct_minmax,1000,50,50000,20165,29835,0,0.4033,0.5967
uniform_random,20,50,1000,4,996,0,0.004,0.996
uniform_random,50,50,2500,13,2487,0,0.0052,0.9948
uniform_random,100,50,5000,33,4967,0,0.0066,0.9934
uniform_random,1000,50,50000,408,49592,0,0.00816,0.99184
direct_mmr,20,50,1000,149,851,0,0.149,0.851
direct_mmr,50,50,2500,326,2174,0,0.1304,0.8696
direct_mmr,100,50,5000,620,4380,0,0.124,0.876
direct_mmr,1000,50,50000,6804,43196,0,0.13608,0.86392
direct_mmr_rerank,20,50,1000,340,660,0,0.34,0.66
direct_mmr_rerank,50,50,2500,827,1673,0,0.3308,0.6692
direct_mmr_rerank,100,50,5000,1685,3315,0,0.337,0.663
direct_mmr_rerank,1000,50,50000,20218,29782,0,0.40436,0.59564
query_expansion,20,50,1000,940,60,0,0.94,0.06
query_expansion,50,50,2500,2270,230,0,0.908,0.092
query_expansion,100,50,5000,4215,785,0,0.843,0.157
query_expansion,1000,50,50000,18614,31386,0,0.37228,0.62772
retrieval_random,20,50,1000,853,147,0,0.853,0.147
retrieval_random,50,50,2500,1820,680,0,0.728,0.272
retrieval_random,100,50,5000,2886,2114,0,0.5772,0.4228
retrieval_random,1000,50,50000,6987,43013,0,0.13974,0.86026
splade,20,50,1000,892,108,0,0.892,0.108
splade,50,50,2500,2070,430,0,0.828,0.172
splade,100,50,5000,3682,1318,0,0.7364,0.2636
splade,1000,50,50000,15933,34067,0,0.31866,0.68134
bge,20,50,1000,882,118,0,0.882,0.118
bge,50,50,2500,2011,489,0,0.8044,0.1956
bge,100,50,5000,3606,1394,0,0.7212,0.2788
bge,1000,50,50000,15490,34510,0,0.3098,0.6902
bm25_ce,20,50,1000,912,88,0,0.912,0.088
bm25_ce,50,50,2500,2097,403,0,0.8388,0.1612
bm25_ce,100,50,5000,3792,1208,0,0.7584,0.2416
bm25_ce,1000,50,50000,18610,31390,0,0.3722,0.6278
