method,baseline,query_id,k,stratum,n_pairs,n_judged,n_unjudged,n_explicit_minus1,n_relevant_strict,n_relevant_relaxed,judged_fraction,hole_fraction,observed_precision_strict,observed_precision_relaxed
mpnet,bm25,1,20,shared,2,2,0,0,0,2,1,0,0,1
mpnet,bm25,1,20,method_only,18,0,18,0,0,0,0,1,0,0
mpnet,bm25,1,20,bm25_only,18,15,3,0,3,9,0.833333333333,0.166666666667,0.166666666667,0.5
mpnet,bm25,2,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,2,20,method_only,20,2,18,0,1,1,0.1,0.9,0.05,0.05
mpnet,bm25,2,20,bm25_only,20,19,1,0,7,7,0.95,0.05,0.35,0.35
mpnet,bm25,3,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,3,20,method_only,20,5,15,0,4,5,0.25,0.75,0.2,0.25
mpnet,bm25,3,20,bm25_only,20,18,2,0,4,7,0.9,0.1,0.2,0.35
mpnet,bm25,4,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,4,20,method_only,19,9,10,0,3,6,0.473684210526,0.526315789474,0.157894736842,0.315789473684
mpnet,bm25,4,20,bm25_only,19,19,0,0,1,2,1,0,0.0526315789474,0.105263157895
mpnet,bm25,5,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,5,20,method_only,19,7,12,0,4,5,0.368421052632,0.631578947368,0.210526315789,0.263157894737
mpnet,bm25,5,20,bm25_only,19,17,2,0,6,15,0.894736842105,0.105263157895,0.315789473684,0.789473684211
mpnet,bm25,6,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,6,20,method_only,19,10,9,0,6,9,0.526315789474,0.473684210526,0.315789473684,0.473684210526
mpnet,bm25,6,20,bm25_only,19,18,1,0,14,16,0.947368421053,0.0526315789474,0.736842105263,0.842105263158
mpnet,bm25,7,20,shared,1,1,0,0,0,0,1,0,0,0
mpnet,bm25,7,20,method_only,19,9,10,0,7,7,0.473684210526,0.526315789474,0.368421052632,0.368421052632
mpnet,bm25,7,20,bm25_only,19,19,0,0,13,14,1,0,0.684210526316,0.736842105263
mpnet,bm25,8,20,shared,2,2,0,0,2,2,1,0,1,1
mpnet,bm25,8,20,method_only,18,7,11,0,7,7,0.388888888889,0.611111111111,0.388888888889,0.388888888889
mpnet,bm25,8,20,bm25_only,18,13,5,0,7,10,0.722222222222,0.277777777778,0.388888888889,0.555555555556
mpnet,bm25,9,20,shared,1,1,0,0,0,0,1,0,0,0
mpnet,bm25,9,20,method_only,19,12,7,0,4,6,0.631578947368,0.368421052632,0.210526315789,0.315789473684
mpnet,bm25,9,20,bm25_only,19,19,0,0,2,4,1,0,0.105263157895,0.210526315789
mpnet,bm25,10,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,10,20,method_only,19,12,7,0,8,8,0.631578947368,0.368421052632,0.421052631579,0.421052631579
mpnet,bm25,10,20,bm25_only,19,19,0,0,13,17,1,0,0.684210526316,0.894736842105
mpnet,bm25,11,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,11,20,method_only,20,8,12,0,2,3,0.4,0.6,0.1,0.15
mpnet,bm25,11,20,bm25_only,20,18,2,0,8,10,0.9,0.1,0.4,0.5
mpnet,bm25,12,20,shared,0,0,0,0,0,0,,,,
mpnet,bm25,12,20,method_only,20,5,15,0,2,3,0.25,0.75,0.1,0.15
mpnet,bm25,12,20,bm25_only,20,16,4,0,3,10,0.8,0.2,0.15,0.5
mpnet,bm25,13,20,shared,1,1,0,0,0,1,1,0,0,1
mpnet,bm25,13,20,method_only,19,3,16,0,0,3,0.157894736842,0.842105263158,0,0.157894736842
mpnet,bm25,13,20,bm25_only,19,18,1,0,7,15,0.947368421053,0.0526315789474,0.368421052632,0.789473684211
mpnet,bm25,14,20,shared,6,6,0,0,5,6,1,0,0.833333333333,1
mpnet,bm25,14,20,method_only,14,6,8,0,4,6,0.428571428571,0.571428571429,0.285714285714,0.428571428571
mpnet,bm25,14,20,bm25_only,14,14,0,0,6,10,1,0,0.428571428571,0.714285714286
mpnet,bm25,15,20,shared,1,1,0,0,1,1,1,0,1,1
mpnet,bm25,15,20,method_only,19,1,18,0,1,1,0.0526315789474,0.947368421053,0.0526315789474,0.0526315789474
