method,baseline,k,stratum,n_queries,n_nonempty_queries,n_pairs,n_judged,n_unjudged,n_explicit_minus1,n_relevant_strict,n_relevant_relaxed,pooled_judged_fraction,pooled_hole_fraction,pooled_observed_precision_strict,pooled_observed_precision_relaxed,macro_nonempty_judged_fraction,macro_nonempty_hole_fraction,macro_nonempty_observed_precision_strict,macro_nonempty_observed_precision_relaxed
mpnet,bm25,20,shared,50,33,99,98,1,0,78,94,0.989898989899,0.010101010101,0.787878787879,0.949494949495,0.992424242424,0.00757575757576,0.76936026936,0.916666666667
mpnet,bm25,20,method_only,50,50,901,499,402,0,348,432,0.553829078801,0.446170921199,0.386237513873,0.479467258602,0.571970760234,0.428029239766,0.403982576763,0.497587584156
mpnet,bm25,20,bm25_only,50,50,901,830,71,0,409,548,0.921198668147,0.0788013318535,0.453940066593,0.608213096559,0.9240625215,0.0759374785002,0.462075651473,0.618417374765
mpnet,bm25,50,shared,50,42,320,311,9,0,239,282,0.971875,0.028125,0.746875,0.88125,0.935090702948,0.0649092970522,0.730658121835,0.864665361094
mpnet,bm25,50,method_only,50,50,2180,1079,1101,0,719,906,0.49495412844,0.50504587156,0.329816513761,0.415596330275,0.515832182524,0.484167817476,0.343710195433,0.432684888128
mpnet,bm25,50,bm25_only,50,50,2180,1855,325,0,815,1171,0.850917431193,0.149082568807,0.373853211009,0.537155963303,0.858440263969,0.141559736031,0.384496733053,0.551877431675
mpnet,bm25,100,shared,50,48,820,795,25,0,609,723,0.969512195122,0.030487804878,0.742682926829,0.881707317073,0.958283497597,0.041716502403,0.716781576406,0.871236820605
mpnet,bm25,100,method_only,50,50,4180,1746,2434,0,1133,1430,0.417703349282,0.582296650718,0.271052631579,0.342105263158,0.443372268374,0.556627731626,0.29139394375,0.36535253969
mpnet,bm25,100,bm25_only,50,50,4180,3225,955,0,1247,1871,0.771531100478,0.228468899522,0.298325358852,0.447607655502,0.783209218681,0.216790781319,0.313651954212,0.466963606212
mpnet,bm25,1000,shared,50,50,11915,8195,3720,0,4912,6543,0.687788501888,0.312211498112,0.412253462023,0.549139739824,0.69070870366,0.30929129634,0.382540732124,0.523109687701
mpnet,bm25,1000,method_only,50,50,38085,5030,33055,0,2260,3437,0.132072994617,0.867927005383,0.0593409478797,0.0902455034791,0.138603319264,0.861396680736,0.0638769741664,0.0966055287111
mpnet,bm25,1000,bm25_only,50,50,38085,10415,27670,0,2381,4468,0.273467244322,0.726532755678,0.0625180517264,0.117316528817,0.27619829396,0.72380170604,0.066703812222,0.123559841305
direct,bm25,20,shared,50,50,582,561,21,0,364,460,0.963917525773,0.0360824742268,0.625429553265,0.790378006873,0.965148132913,0.0348518670872,0.619475844417,0.784488459253
direct,bm25,20,method_only,50,50,418,385,33,0,266,337,0.921052631579,0.0789473684211,0.636363636364,0.806220095694,0.924359307359,0.0756406926407,0.643432900433,0.820461760462
direct,bm25,20,bm25_only,50,50,418,367,51,0,123,182,0.877990430622,0.122009569378,0.294258373206,0.435406698565,0.893605339105,0.106394660895,0.320992784993,0.481241702742
direct,bm25,50,shared,50,50,1488,1408,80,0,860,1118,0.94623655914,0.0537634408602,0.577956989247,0.751344086022,0.939350274368,0.0606497256317,0.562200199199,0.739141226369
direct,bm25,50,method_only,50,50,1012,883,129,0,565,728,0.872529644269,0.127470355731,0.558300395257,0.719367588933,0.888497904358,0.111502095642,0.581563674304,0.737351841127
direct,bm25,50,bm25_only,50,50,1012,758,254,0,194,335,0.749011857708,0.250988142292,0.191699604743,0.331027667984,0.787911180559,0.212088819441,0.218357590049,0.370638753724
direct,bm25,100,shared,50,50,3020,2755,265,0,1571,2076,0.912251655629,0.0877483443709,0.520198675497,0.687417218543,0.907643124956,0.0923568750438,0.502801962035,0.67224593169
direct,bm25,100,method_only,50,50,1980,1513,467,0,873,1176,0.764141414141,0.235858585859,0.440909090909,0.593939393939,0.787350834577,0.212649165423,0.46222264374,0.615349490259
direct,bm25,100,bm25_only,50,50,1980,1265,715,0,285,518,0.638888888889,0.361111111111,0.143939393939,0.261616161616,0.676169026919,0.323830973081,0.172092882733,0.298366200288
direct,bm25,1000,shared,50,50,35598,16950,18648,0,7152,10665,0.476150345525,0.523849654475,0.200910163492,0.299595482892,0.472153250832,0.527846749168,0.193205244878,0.2882334357
direct,bm25,1000,method_only,50,50,14402,3268,11134,0,1563,2321,0.22691292876,0.77308707124,0.108526593529,0.161158172476,0.243472206388,0.756527793612,0.119803591017,0.178616728877
direct,bm25,1000,bm25_only,50,50,14402,1660,12742,0,141,346,0.115261769199,0.884738230801,0.00979030690182,0.0240244410499,0.123835405014,0.876164594986,0.0134250715666,0.0320810989651
direct_minmax,bm25,20,shared,50,50,571,550,21,0,360,452,0.963222416813,0.0367775831874,0.630472854641,0.791593695271,0.964442505207,0.0355574947928,0.624234585676,0.787624434389
direct_minmax,bm25,20,method_only,50,50,429,393,36,0,268,342,0.916083916084,0.0839160839161,0.624708624709,0.797202797203,0.921489177489,0.0785108225108,0.633437506938,0.813775169275
direct_minmax,bm25,20,bm25_only,50,50,429,378,51,0,127,190,0.881118881119,0.118881118881,0.296037296037,0.44289044289,0.892337995338,0.107662004662,0.319841269841,0.48230996781
direct_minmax,bm25,50,shared,50,50,1451,1372,79,0,837,1086,0.9455547898,0.0544452101999,0.576843556168,0.748449345279,0.938924092589,0.0610759074112,0.564023301249,0.740321968449
direct_minmax,bm25,50,method_only,50,50,1049,905,144,0,581,749,0.862726406101,0.137273593899,0.553860819828,0.714013346044,0.879801549051,0.120198450949,0.579687522094,0.732412228999
direct_minmax,bm25,50,bm25_only,50,50,1049,794,255,0,217,367,0.756911344137,0.243088655863,0.206863679695,0.349857006673,0.788295186095,0.211704813905,0.227508633469,0.37628313126
direct_minmax,bm25,100,shared,50,50,2941,2677,264,0,1542,2018,0.910234614077,0.0897653859232,0.524311458688,0.68616116967,0.906974251823,0.0930257481775,0.508288410063,0.674615153929
direct_minmax,bm25,100,method_only,50,50,2059,1569,490,0,911,1219,0.762020398252,0.237979601748,0.442447790189,0.592034968431,0.781792089956,0.218207910044,0.461641073465,0.609524186937
direct_minmax,bm25,100,bm25_only,50,50,2059,1343,716,0,314,576,0.652258377853,0.347741622147,0.152501214182,0.279747450219,0.678980143003,0.321019856997,0.175025673962,0.305483261022
direct_minmax,bm25,1000,shared,50,50,35286,16814,18472,0,7117,10588,0.476506263107,0.523493736893,0.20169472312,0.300062347673,0.473303875835,0.526696124165,0.195292413233,0.290723538809
