method,query_id,label_rule,precision_k,recall_k,n_qrel_relevant,n_observed_relevant_at_precision_k,n_observed_relevant_at_recall_k,observed_precision,observed_recall
bm25,1,strict_eq2,20,1000,305,3,77,0.15,0.252459016393
bm25,2,strict_eq2,20,1000,243,7,73,0.35,0.300411522634
bm25,3,strict_eq2,20,1000,198,4,92,0.2,0.464646464646
bm25,4,strict_eq2,20,1000,218,2,64,0.1,0.293577981651
bm25,5,strict_eq2,20,1000,294,7,138,0.35,0.469387755102
bm25,6,strict_eq2,20,1000,638,15,249,0.75,0.390282131661
bm25,7,strict_eq2,20,1000,433,13,296,0.65,0.683602771363
bm25,8,strict_eq2,20,1000,247,9,81,0.45,0.327935222672
bm25,9,strict_eq2,20,1000,92,2,59,0.1,0.641304347826
bm25,10,strict_eq2,20,1000,278,14,162,0.7,0.58273381295
bm25,11,strict_eq2,20,1000,203,8,78,0.4,0.384236453202
bm25,12,strict_eq2,20,1000,347,3,68,0.15,0.195965417867
bm25,13,strict_eq2,20,1000,235,7,98,0.35,0.417021276596
bm25,14,strict_eq2,20,1000,92,11,47,0.55,0.510869565217
bm25,15,strict_eq2,20,1000,165,2,7,0.1,0.0424242424242
bm25,16,strict_eq2,20,1000,156,4,53,0.2,0.339743589744
bm25,17,strict_eq2,20,1000,311,7,144,0.35,0.463022508039
bm25,18,strict_eq2,20,1000,325,10,190,0.5,0.584615384615
bm25,19,strict_eq2,20,1000,45,5,23,0.25,0.511111111111
bm25,20,strict_eq2,20,1000,419,17,313,0.85,0.747016706444
bm25,21,strict_eq2,20,1000,554,7,172,0.35,0.310469314079
bm25,22,strict_eq2,20,1000,340,14,186,0.7,0.547058823529
bm25,23,strict_eq2,20,1000,190,15,118,0.75,0.621052631579
bm25,24,strict_eq2,20,1000,264,13,216,0.65,0.818181818182
bm25,25,strict_eq2,20,1000,375,3,87,0.15,0.232
bm25,26,strict_eq2,20,1000,635,12,209,0.6,0.329133858268
bm25,27,strict_eq2,20,1000,289,16,227,0.8,0.785467128028
bm25,28,strict_eq2,20,1000,481,17,363,0.85,0.754677754678
bm25,29,strict_eq2,20,1000,342,13,199,0.65,0.581871345029
bm25,30,strict_eq2,20,1000,171,19,150,0.95,0.877192982456
