method,label_rule,precision_k,recall_k,n_queries,n_queries_with_relevant_qrels,mean_observed_precision,mean_observed_recall,n_observed_relevant_at_precision_k,n_observed_relevant_at_recall_k,n_qrel_relevant
bm25,strict_eq2,20,1000,50,50,0.487,0.509802910607,487,7293,14217
bm25,relaxed_ge1,20,1000,50,50,0.642,0.455999157013,642,11011,24673
mpnet,strict_eq2,20,1000,50,50,0.426,0.497134314728,426,7172,14217
mpnet,relaxed_ge1,20,1000,50,50,0.526,0.42385408542,526,9980,24673
direct,strict_eq2,20,1000,50,50,0.63,0.611844002023,630,8715,14217
direct,relaxed_ge1,20,1000,50,50,0.797,0.542897118493,797,12986,24673
direct_minmax,strict_eq2,20,1000,50,50,0.628,0.612986130122,628,8735,14217
direct_minmax,relaxed_ge1,20,1000,50,50,0.794,0.54293110857,794,12989,24673
uniform_random,strict_eq2,20,1000,50,50,0.001,0.00641678791959,1,85,14217
uniform_random,relaxed_ge1,20,1000,50,50,0.001,0.00630323176527,1,151,24673
direct_mmr,strict_eq2,20,1000,50,50,0.035,0.162313748941,35,2159,14217
direct_mmr,relaxed_ge1,20,1000,50,50,0.05,0.151861257844,50,3492,24673
direct_mmr_rerank,strict_eq2,20,1000,50,50,0.078,0.611844002023,78,8715,14217
direct_mmr_rerank,relaxed_ge1,20,1000,50,50,0.127,0.542897118493,127,12986,24673
query_expansion,strict_eq2,20,1000,50,50,0.622,0.568064211922,622,7979,14217
query_expansion,relaxed_ge1,20,1000,50,50,0.788,0.500616150693,788,11809,24673
retrieval_random,strict_eq2,20,1000,50,50,0.503,0.173304790763,503,2517,14217
retrieval_random,relaxed_ge1,20,1000,50,50,0.638,0.157693100011,638,3884,24673
splade,strict_eq2,20,1000,50,50,0.6,0.512627628517,600,7534,14217
splade,relaxed_ge1,20,1000,50,50,0.74,0.443053319706,740,10897,24673
bge,strict_eq2,20,1000,50,50,0.668,0.566763735319,668,8021,14217
bge,relaxed_ge1,20,1000,50,50,0.784,0.477162422107,784,11267,24673
bm25_ce,strict_eq2,20,1000,50,50,0.581,0.509802910607,581,7293,14217
bm25_ce,relaxed_ge1,20,1000,50,50,0.74,0.455999157013,740,11011,24673
