method,baseline,query_id,k,n_shared,n_method_only,n_bm25_only,n_union,overlap_fraction,jaccard
mpnet,bm25,1,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,2,20,0,20,20,40,0,0
mpnet,bm25,3,20,0,20,20,40,0,0
mpnet,bm25,4,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,5,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,6,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,7,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,8,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,9,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,10,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,11,20,0,20,20,40,0,0
mpnet,bm25,12,20,0,20,20,40,0,0
mpnet,bm25,13,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,14,20,6,14,14,34,0.3,0.176470588235
mpnet,bm25,15,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,16,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,17,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,18,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,19,20,3,17,17,37,0.15,0.0810810810811
mpnet,bm25,20,20,4,16,16,36,0.2,0.111111111111
mpnet,bm25,21,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,22,20,4,16,16,36,0.2,0.111111111111
mpnet,bm25,23,20,3,17,17,37,0.15,0.0810810810811
mpnet,bm25,24,20,0,20,20,40,0,0
mpnet,bm25,25,20,3,17,17,37,0.15,0.0810810810811
mpnet,bm25,26,20,0,20,20,40,0,0
mpnet,bm25,27,20,4,16,16,36,0.2,0.111111111111
mpnet,bm25,28,20,0,20,20,40,0,0
mpnet,bm25,29,20,4,16,16,36,0.2,0.111111111111
mpnet,bm25,30,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,31,20,0,20,20,40,0,0
mpnet,bm25,32,20,0,20,20,40,0,0
mpnet,bm25,33,20,2,18,18,38,0.1,0.0526315789474
mpnet,bm25,34,20,0,20,20,40,0,0
mpnet,bm25,35,20,0,20,20,40,0,0
mpnet,bm25,36,20,4,16,16,36,0.2,0.111111111111
mpnet,bm25,37,20,4,16,16,36,0.2,0.111111111111
mpnet,bm25,38,20,0,20,20,40,0,0
mpnet,bm25,39,20,9,11,11,31,0.45,0.290322580645
mpnet,bm25,40,20,6,14,14,34,0.3,0.176470588235
mpnet,bm25,41,20,3,17,17,37,0.15,0.0810810810811
mpnet,bm25,42,20,0,20,20,40,0,0
mpnet,bm25,43,20,3,17,17,37,0.15,0.0810810810811
mpnet,bm25,44,20,1,19,19,39,0.05,0.025641025641
mpnet,bm25,45,20,0,20,20,40,0,0
mpnet,bm25,46,20,9,11,11,31,0.45,0.290322580645
mpnet,bm25,47,20,0,20,20,40,0,0
mpnet,bm25,48,20,0,20,20,40,0,0
mpnet,bm25,49,20,0,20,20,40,0,0
mpnet,bm25,50,20,6,14,14,34,0.3,0.176470588235
mpnet,bm25,1,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,2,50,0,50,50,100,0,0
mpnet,bm25,3,50,1,49,49,99,0.02,0.010101010101
mpnet,bm25,4,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,5,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,6,50,7,43,43,93,0.14,0.0752688172043
mpnet,bm25,7,50,8,42,42,92,0.16,0.0869565217391
mpnet,bm25,8,50,3,47,47,97,0.06,0.0309278350515
mpnet,bm25,9,50,11,39,39,89,0.22,0.123595505618
mpnet,bm25,10,50,5,45,45,95,0.1,0.0526315789474
mpnet,bm25,11,50,1,49,49,99,0.02,0.010101010101
mpnet,bm25,12,50,1,49,49,99,0.02,0.010101010101
mpnet,bm25,13,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,14,50,9,41,41,91,0.18,0.0989010989011
mpnet,bm25,15,50,1,49,49,99,0.02,0.010101010101
mpnet,bm25,16,50,4,46,46,96,0.08,0.0416666666667
mpnet,bm25,17,50,5,45,45,95,0.1,0.0526315789474
mpnet,bm25,18,50,10,40,40,90,0.2,0.111111111111
mpnet,bm25,19,50,14,36,36,86,0.28,0.162790697674
mpnet,bm25,20,50,8,42,42,92,0.16,0.0869565217391
mpnet,bm25,21,50,5,45,45,95,0.1,0.0526315789474
mpnet,bm25,22,50,7,43,43,93,0.14,0.0752688172043
