method,baseline,k,n_queries,total_shared,mean_overlap_fraction,mean_jaccard,n_queries_identical_sets
mpnet,bm25,20,50,99,0.099,0.0561392061422,0
mpnet,bm25,50,50,320,0.128,0.0722690171973,0
mpnet,bm25,100,50,820,0.164,0.0949781844417,0
mpnet,bm25,1000,50,11915,0.2383,0.145653599258,0
direct,bm25,20,50,582,0.582,0.425339488709,0
direct,bm25,50,50,1488,0.5952,0.437802586398,0
direct,bm25,100,50,3020,0.604,0.444391942836,0
direct,bm25,1000,50,35598,0.71196,0.56598465032,0
direct_minmax,bm25,20,50,571,0.571,0.41407762701,0
direct_minmax,bm25,50,50,1451,0.5804,0.423283957673,0
direct_minmax,bm25,100,50,2941,0.5882,0.427384909043,0
direct_minmax,bm25,1000,50,35286,0.70572,0.555629695347,0
uniform_random,bm25,20,50,1,0.001,0.000512820512821,0
uniform_random,bm25,50,50,1,0.0004,0.00020202020202,0
uniform_random,bm25,100,50,3,0.0006,0.000301507537688,0
uniform_random,bm25,1000,50,300,0.006,0.00301037996437,0
direct_mmr,bm25,20,50,15,0.015,0.00782944888208,0
direct_mmr,bm25,50,50,63,0.0252,0.0129407639015,0
direct_mmr,bm25,100,50,184,0.0368,0.0190292263046,0
direct_mmr,bm25,1000,50,11162,0.22324,0.126226289552,0
direct_mmr_rerank,bm25,20,50,38,0.038,0.0201865022918,0
direct_mmr_rerank,bm25,50,50,187,0.0748,0.0396906463286,0
direct_mmr_rerank,bm25,100,50,606,0.1212,0.0653362528918,0
direct_mmr_rerank,bm25,1000,50,35598,0.71196,0.56598465032,0
query_expansion,bm25,20,50,591,0.591,0.434644068642,0
query_expansion,bm25,50,50,1456,0.5824,0.424259536517,0
query_expansion,bm25,100,50,2979,0.5958,0.434999799006,0
query_expansion,bm25,1000,50,30960,0.6192,0.454800778448,0
retrieval_random,bm25,20,50,202,0.202,0.115683102541,0
retrieval_random,bm25,50,50,492,0.1968,0.110550386007,0
retrieval_random,bm25,100,50,942,0.1884,0.104606544891,0
retrieval_random,bm25,1000,50,9348,0.18696,0.103313747785,0
splade,bm25,20,50,261,0.261,0.158196307831,0
splade,bm25,50,50,744,0.2976,0.182833388212,0
splade,bm25,100,50,1610,0.322,0.200216571429,0
splade,bm25,1000,50,19332,0.38664,0.251097760203,0
bge,bm25,20,50,221,0.221,0.131322082237,0
bge,bm25,50,50,611,0.2444,0.144758212965,0
bge,bm25,100,50,1368,0.2736,0.163751648104,0
bge,bm25,1000,50,15775,0.3155,0.196253974469,0
bm25_ce,bm25,20,50,299,0.299,0.184859170576,0
bm25_ce,bm25,50,50,851,0.3404,0.213019481357,0
bm25_ce,bm25,100,50,1911,0.3822,0.243720992604,0
bm25_ce,bm25,1000,50,50000,1,1,50
