method_a,method_b,query_id,k,label_rule,observed_delta,lower_bound,upper_bound,unjudged_a,unjudged_b,unjudged_shared,unjudged_a_only,unjudged_b_only
mpnet,bm25,1,20,strict_eq2,-0.15,-0.3,0.75,18,3,0,18,3
mpnet,bm25,2,20,strict_eq2,-0.3,-0.35,0.6,18,1,0,18,1
mpnet,bm25,3,20,strict_eq2,0,-0.1,0.75,15,2,0,15,2
mpnet,bm25,4,20,strict_eq2,0.1,0.1,0.6,10,0,0,10,0
mpnet,bm25,5,20,strict_eq2,-0.1,-0.2,0.5,12,2,0,12,2
mpnet,bm25,6,20,strict_eq2,-0.4,-0.45,0.05,9,1,0,9,1
mpnet,bm25,7,20,strict_eq2,-0.3,-0.3,0.2,10,0,0,10,0
mpnet,bm25,8,20,strict_eq2,0,-0.25,0.55,11,5,0,11,5
mpnet,bm25,9,20,strict_eq2,0.1,0.1,0.45,7,0,0,7,0
mpnet,bm25,10,20,strict_eq2,-0.25,-0.25,0.1,7,0,0,7,0
mpnet,bm25,11,20,strict_eq2,-0.3,-0.4,0.3,12,2,0,12,2
mpnet,bm25,12,20,strict_eq2,-0.05,-0.25,0.7,15,4,0,15,4
mpnet,bm25,13,20,strict_eq2,-0.35,-0.4,0.45,16,1,0,16,1
mpnet,bm25,14,20,strict_eq2,-0.1,-0.1,0.3,8,0,0,8,0
mpnet,bm25,15,20,strict_eq2,0,-0.3,0.9,18,6,0,18,6
mpnet,bm25,16,20,strict_eq2,0.65,0.5,0.7,1,3,0,1,3
mpnet,bm25,17,20,strict_eq2,-0.05,-0.15,0.45,10,2,0,10,2
mpnet,bm25,18,20,strict_eq2,0.05,0.05,0.3,5,0,0,5,0
mpnet,bm25,19,20,strict_eq2,0.05,0.05,0.2,3,0,0,3,0
mpnet,bm25,20,20,strict_eq2,0.1,0.05,0.1,1,2,1,0,1
mpnet,bm25,21,20,strict_eq2,-0.15,-0.25,0.55,14,2,0,14,2
mpnet,bm25,22,20,strict_eq2,-0.05,-0.25,0.25,6,4,0,6,4
mpnet,bm25,23,20,strict_eq2,-0.1,-0.15,0.05,3,1,0,3,1
mpnet,bm25,24,20,strict_eq2,-0.25,-0.35,0.1,7,2,0,7,2
mpnet,bm25,25,20,strict_eq2,0.3,0.05,0.8,10,5,0,10,5
mpnet,bm25,26,20,strict_eq2,-0.45,-0.6,0.4,17,3,0,17,3
mpnet,bm25,27,20,strict_eq2,-0.05,-0.15,0.15,4,2,0,4,2
mpnet,bm25,28,20,strict_eq2,-0.35,-0.35,0.15,10,0,0,10,0
mpnet,bm25,29,20,strict_eq2,-0.1,-0.1,0.25,7,0,0,7,0
