method_a,method_b,k,label_rule,n_queries,mean_observed_delta,mean_lower_bound,mean_upper_bound,total_unjudged_a,total_unjudged_b,total_unjudged_shared,total_unjudged_a_only,total_unjudged_b_only,n_queries_a_guaranteed_higher,n_queries_b_guaranteed_higher,n_queries_tie_possible
mpnet,bm25,20,strict_eq2,50,-0.061,-0.132,0.341,403,72,1,402,71,13,3,34
mpnet,bm25,20,relaxed_ge1,50,-0.116,-0.187,0.286,403,72,1,402,71,10,3,37
mpnet,bm25,100,strict_eq2,50,-0.0228,-0.2138,0.464,2459,980,25,2434,955,7,0,43
mpnet,bm25,100,relaxed_ge1,50,-0.0882,-0.2792,0.3986,2459,980,25,2434,955,4,2,44
direct,bm25,20,strict_eq2,50,0.143,0.092,0.176,54,72,21,33,51,40,3,7
direct,bm25,20,relaxed_ge1,50,0.155,0.104,0.188,54,72,21,33,51,33,2,15
direct,bm25,100,strict_eq2,50,0.1176,-0.0254,0.211,732,980,265,467,715,20,1,29
direct,bm25,100,relaxed_ge1,50,0.1316,-0.0114,0.225,732,980,265,467,715,22,1,27
direct_minmax,bm25,20,strict_eq2,50,0.141,0.09,0.177,57,72,21,36,51,40,2,8
direct_minmax,bm25,20,relaxed_ge1,50,0.152,0.101,0.188,57,72,21,36,51,33,2,15
direct_minmax,bm25,100,strict_eq2,50,0.1194,-0.0238,0.2174,754,980,264,490,716,20,1,29
direct_minmax,bm25,100,relaxed_ge1,50,0.1286,-0.0146,0.2266,754,980,264,490,716,19,1,30
uniform_random,bm25,20,strict_eq2,50,-0.486,-0.558,0.51,996,72,0,996,72,0,0,50
uniform_random,bm25,20,relaxed_ge1,50,-0.641,-0.713,0.355,996,72,0,996,72,0,0,50
uniform_random,bm25,100,strict_eq2,50,-0.3704,-0.5664,0.623,4967,980,0,4967,980,0,0,50
uniform_random,bm25,100,relaxed_ge1,50,-0.5166,-0.7126,0.4768,4967,980,0,4967,980,0,0,50
direct_mmr,bm25,20,strict_eq2,50,-0.452,-0.52,0.395,851,72,4,847,68,0,3,47
direct_mmr,bm25,20,relaxed_ge1,50,-0.592,-0.66,0.255,851,72,4,847,68,0,2,48
direct_mmr,bm25,100,strict_eq2,50,-0.3488,-0.5298,0.5122,4380,980,75,4305,905,0,1,49
direct_mmr,bm25,100,relaxed_ge1,50,-0.4798,-0.6608,0.3812,4380,980,75,4305,905,0,2,48
direct_mmr_rerank,bm25,20,strict_eq2,50,-0.409,-0.474,0.244,660,72,7,653,65,0,6,44
direct_mmr_rerank,bm25,20,relaxed_ge1,50,-0.515,-0.58,0.138,660,72,7,653,65,0,14,36
direct_mmr_rerank,bm25,100,strict_eq2,50,-0.2714,-0.43,0.3542,3315,980,187,3128,793,0,1,49
direct_mmr_rerank,bm25,100,relaxed_ge1,50,-0.36,-0.5186,0.2656,3315,980,187,3128,793,0,3,47
query_expansion,bm25,20,strict_eq2,50,0.135,0.084,0.174,60,72,21,39,51,34,3,13
query_expansion,bm25,20,relaxed_ge1,50,0.146,0.095,0.185,60,72,21,39,51,32,3,15
query_expansion,bm25,100,strict_eq2,50,0.1064,-0.0362,0.21,785,980,267,518,713,18,1,31
query_expansion,bm25,100,relaxed_ge1,50,0.1152,-0.0274,0.2188,785,980,267,518,713,15,1,34
retrieval_random,bm25,20,strict_eq2,50,0.016,-0.049,0.156,147,72,7,140,65,12,11,27
retrieval_random,bm25,20,relaxed_ge1,50,-0.004,-0.069,0.136,147,72,7,140,65,15,11,24
retrieval_random,bm25,100,strict_eq2,50,-0.0862,-0.256,0.3104,2114,980,131,1983,849,1,1,48
retrieval_random,bm25,100,relaxed_ge1,50,-0.1242,-0.294,0.2724,2114,980,131,1983,849,1,4,45
splade,bm25,20,strict_eq2,50,0.113,0.045,0.217,108,72,4,104,68,25,6,19
splade,bm25,20,relaxed_ge1,50,0.098,0.03,0.202,108,72,4,104,68,24,4,22
splade,bm25,100,strict_eq2,50,0.0606,-0.1236,0.3124,1318,980,59,1259,921,10,0,40
splade,bm25,100,relaxed_ge1,50,0.0422,-0.142,0.294,1318,980,59,1259,921,8,0,42
bge,bm25,20,strict_eq2,50,0.181,0.113,0.295,118,72,4,114,68,35,2,13
bge,bm25,20,relaxed_ge1,50,0.142,0.074,0.256,118,72,4,114,68,27,3,20
bge,bm25,100,strict_eq2,50,0.1048,-0.08,0.3724,1394,980,56,1338,924,13,0,37
bge,bm25,100,relaxed_ge1,50,0.0772,-0.1076,0.3448,1394,980,56,1338,924,12,0,38
bm25_ce,bm25,20,strict_eq2,50,0.094,0.028,0.176,88,72,6,82,66,25,8,17
bm25_ce,bm25,20,relaxed_ge1,50,0.098,0.032,0.18,88,72,6,82,66,24,5,21
bm25_ce,bm25,100,strict_eq2,50,0.0542,-0.1162,0.2702,1208,980,128,1080,852,12,1,37
bm25_ce,bm25,100,relaxed_ge1,50,0.0434,-0.127,0.2594,1208,980,128,1080,852,11,1,38
