method,query_id,k,n_retrieved,n_judged,n_unjudged,n_explicit_minus1,judged_fraction,hole_fraction
bm25,9,20,20,20,0,0,1,0
bm25,13,20,20,19,1,0,0.95,0.05
bm25,34,20,20,14,6,0,0.7,0.3
bm25,45,20,20,19,1,0,0.95,0.05
bm25,48,20,20,17,3,0,0.85,0.15
bm25,9,50,50,48,2,0,0.96,0.04
bm25,13,50,50,46,4,0,0.92,0.08
bm25,34,50,50,23,27,0,0.46,0.54
bm25,45,50,50,46,4,0,0.92,0.08
bm25,48,50,50,28,22,0,0.56,0.44
bm25,9,100,100,88,12,0,0.88,0.12
bm25,13,100,100,77,23,0,0.77,0.23
bm25,34,100,100,49,51,0,0.49,0.51
bm25,45,100,100,90,10,0,0.9,0.1
bm25,48,100,100,52,48,0,0.52,0.48
bm25,9,1000,1000,292,708,0,0.292,0.708
bm25,13,1000,1000,361,639,0,0.361,0.639
bm25,34,1000,1000,231,769,0,0.231,0.769
bm25,45,1000,1000,569,431,0,0.569,0.431
bm25,48,1000,1000,280,720,0,0.28,0.72
mpnet,9,20,20,13,7,0,0.65,0.35
mpnet,13,20,20,4,16,0,0.2,0.8
mpnet,34,20,20,7,13,0,0.35,0.65
mpnet,45,20,20,19,1,0,0.95,0.05
mpnet,48,20,20,18,2,0,0.9,0.1
mpnet,9,50,50,33,17,0,0.66,0.34
mpnet,13,50,50,9,41,0,0.18,0.82
mpnet,34,50,50,18,32,0,0.36,0.64
mpnet,45,50,50,40,10,0,0.8,0.2
mpnet,48,50,50,42,8,0,0.84,0.16
mpnet,9,100,100,49,51,0,0.49,0.51
mpnet,13,100,100,13,87,0,0.13,0.87
mpnet,34,100,100,25,75,0,0.25,0.75
mpnet,45,100,100,72,28,0,0.72,0.28
mpnet,48,100,100,78,22,0,0.78,0.22
mpnet,9,1000,1000,135,865,0,0.135,0.865
mpnet,13,1000,1000,201,799,0,0.201,0.799
mpnet,34,1000,1000,100,900,0,0.1,0.9
mpnet,45,1000,1000,427,573,0,0.427,0.573
mpnet,48,1000,1000,206,794,0,0.206,0.794
direct,9,20,20,20,0,0,1,0
direct,13,20,20,18,2,0,0.9,0.1
direct,34,20,20,18,2,0,0.9,0.1
direct,45,20,20,19,1,0,0.95,0.05
