method,k,n_queries,n_retrieved,n_judged,n_unjudged,n_explicit_minus1,mean_judged_fraction,mean_hole_fraction
bm25,20,5,100,89,11,0,0.89,0.11
bm25,50,5,250,191,59,0,0.764,0.236
bm25,100,5,500,356,144,0,0.712,0.288
bm25,1000,5,5000,1733,3267,0,0.3466,0.6534
mpnet,20,5,100,61,39,0,0.61,0.39
mpnet,50,5,250,142,108,0,0.568,0.432
mpnet,100,5,500,237,263,0,0.474,0.526
mpnet,1000,5,5000,1069,3931,0,0.2138,0.7862
direct,20,5,100,95,5,0,0.95,0.05
direct,50,5,250,229,21,0,0.916,0.084
direct,100,5,500,415,85,0,0.83,0.17
direct,1000,5,5000,1834,3166,0,0.3668,0.6332
uniform_random,20,5,100,0,100,0,0,1
uniform_random,50,5,250,0,250,0,0,1
uniform_random,100,5,500,4,496,0,0.008,0.992
uniform_random,1000,5,5000,51,4949,0,0.0102,0.9898
direct_minmax,20,5,100,95,5,0,0.95,0.05
direct_minmax,50,5,250,228,22,0,0.912,0.088
direct_minmax,100,5,500,411,89,0,0.822,0.178
direct_minmax,1000,5,5000,1833,3167,0,0.3666,0.6334
direct_mmr,20,5,100,14,86,0,0.14,0.86
direct_mmr,50,5,250,38,212,0,0.152,0.848
direct_mmr,100,5,500,70,430,0,0.14,0.86
direct_mmr,1000,5,5000,699,4301,0,0.1398,0.8602
query_expansion,20,5,100,95,5,0,0.95,0.05
query_expansion,50,5,250,221,29,0,0.884,0.116
query_expansion,100,5,500,396,104,0,0.792,0.208
query_expansion,1000,5,5000,1720,3280,0,0.344,0.656
retrieval_random,20,5,100,80,20,0,0.8,0.2
retrieval_random,50,5,250,165,85,0,0.66,0.34
retrieval_random,100,5,500,264,236,0,0.528,0.472
retrieval_random,1000,5,5000,637,4363,0,0.1274,0.8726
