method,query_id,k,n_shared,n_pilot_only,n_full50_only,overlap_fraction,same_sequence,n_same_positions
bm25,9,20,20,0,0,1,1,20
bm25,13,20,20,0,0,1,1,20
bm25,34,20,20,0,0,1,1,20
bm25,45,20,20,0,0,1,1,20
bm25,48,20,20,0,0,1,1,20
bm25,9,50,50,0,0,1,1,50
bm25,13,50,50,0,0,1,1,50
bm25,34,50,50,0,0,1,1,50
bm25,45,50,50,0,0,1,1,50
bm25,48,50,50,0,0,1,1,50
bm25,9,100,100,0,0,1,1,100
bm25,13,100,100,0,0,1,1,100
bm25,34,100,100,0,0,1,1,100
bm25,45,100,100,0,0,1,1,100
bm25,48,100,100,0,0,1,1,100
bm25,9,1000,1000,0,0,1,1,1000
bm25,13,1000,1000,0,0,1,1,1000
bm25,34,1000,1000,0,0,1,1,1000
bm25,45,1000,1000,0,0,1,1,1000
bm25,48,1000,1000,0,0,1,1,1000
mpnet,9,20,20,0,0,1,1,20
mpnet,13,20,20,0,0,1,1,20
mpnet,34,20,20,0,0,1,1,20
mpnet,45,20,20,0,0,1,1,20
mpnet,48,20,20,0,0,1,1,20
mpnet,9,50,50,0,0,1,1,50
mpnet,13,50,50,0,0,1,1,50
mpnet,34,50,50,0,0,1,1,50
mpnet,45,50,50,0,0,1,1,50
mpnet,48,50,50,0,0,1,1,50
mpnet,9,100,100,0,0,1,1,100
mpnet,13,100,100,0,0,1,1,100
mpnet,34,100,100,0,0,1,1,100
mpnet,45,100,100,0,0,1,1,100
mpnet,48,100,100,0,0,1,1,100
mpnet,9,1000,1000,0,0,1,1,1000
mpnet,13,1000,1000,0,0,1,1,1000
mpnet,34,1000,1000,0,0,1,1,1000
mpnet,45,1000,1000,0,0,1,1,1000
mpnet,48,1000,1000,0,0,1,1,1000
direct,9,20,20,0,0,1,1,20
direct,13,20,20,0,0,1,1,20
direct,34,20,20,0,0,1,1,20
direct,45,20,20,0,0,1,1,20
direct,48,20,20,0,0,1,1,20
direct,9,50,50,0,0,1,1,50
direct,13,50,50,0,0,1,1,50
direct,34,50,50,0,0,1,1,50
direct,45,50,50,0,0,1,1,50
direct,48,50,50,0,0,1,1,50
direct,9,100,100,0,0,1,1,100
direct,13,100,100,0,0,1,1,100
direct,34,100,100,0,0,1,1,100
direct,45,100,100,0,0,1,1,100
direct,48,100,100,0,0,1,1,100
direct,9,1000,1000,0,0,1,1,1000
direct,13,1000,1000,0,0,1,1,1000
direct,34,1000,1000,0,0,1,1,1000
direct,45,1000,1000,0,0,1,1,1000
direct,48,1000,1000,0,0,1,1,1000
uniform_random,9,20,20,0,0,1,1,20
uniform_random,13,20,20,0,0,1,1,20
uniform_random,34,20,20,0,0,1,1,20
uniform_random,45,20,20,0,0,1,1,20
uniform_random,48,20,20,0,0,1,1,20
uniform_random,9,50,50,0,0,1,1,50
uniform_random,13,50,50,0,0,1,1,50
uniform_random,34,50,50,0,0,1,1,50
uniform_random,45,50,50,0,0,1,1,50
uniform_random,48,50,50,0,0,1,1,50
uniform_random,9,100,100,0,0,1,1,100
uniform_random,13,100,100,0,0,1,1,100
uniform_random,34,100,100,0,0,1,1,100
uniform_random,45,100,100,0,0,1,1,100
uniform_random,48,100,100,0,0,1,1,100
uniform_random,9,1000,1000,0,0,1,1,1000
uniform_random,13,1000,1000,0,0,1,1,1000
uniform_random,34,1000,1000,0,0,1,1,1000
uniform_random,45,1000,1000,0,0,1,1,1000
uniform_random,48,1000,1000,0,0,1,1,1000
direct_minmax,9,20,20,0,0,1,1,20
direct_minmax,13,20,20,0,0,1,1,20
direct_minmax,34,20,20,0,0,1,1,20
direct_minmax,45,20,20,0,0,1,1,20
direct_minmax,48,20,20,0,0,1,1,20
direct_minmax,9,50,50,0,0,1,1,50
direct_minmax,13,50,50,0,0,1,1,50
direct_minmax,34,50,50,0,0,1,1,50
direct_minmax,45,50,50,0,0,1,1,50
direct_minmax,48,50,50,0,0,1,1,50
direct_minmax,9,100,100,0,0,1,1,100
direct_minmax,13,100,100,0,0,1,1,100
direct_minmax,34,100,100,0,0,1,1,100
direct_minmax,45,100,100,0,0,1,1,100
direct_minmax,48,100,100,0,0,1,1,100
direct_minmax,9,1000,1000,0,0,1,1,1000
direct_minmax,13,1000,1000,0,0,1,1,1000
direct_minmax,34,1000,1000,0,0,1,1,1000
direct_minmax,45,1000,1000,0,0,1,1,1000
direct_minmax,48,1000,1000,0,0,1,1,1000
direct_mmr,9,20,20,0,0,1,1,20
direct_mmr,13,20,20,0,0,1,1,20
direct_mmr,34,20,20,0,0,1,1,20
direct_mmr,45,20,20,0,0,1,1,20
direct_mmr,48,20,20,0,0,1,1,20
direct_mmr,9,50,50,0,0,1,1,50
direct_mmr,13,50,50,0,0,1,1,50
direct_mmr,34,50,50,0,0,1,1,50
direct_mmr,45,50,50,0,0,1,1,50
direct_mmr,48,50,50,0,0,1,1,50
direct_mmr,9,100,100,0,0,1,1,100
direct_mmr,13,100,100,0,0,1,1,100
direct_mmr,34,100,100,0,0,1,1,100
direct_mmr,45,100,100,0,0,1,1,100
direct_mmr,48,100,100,0,0,1,1,100
direct_mmr,9,1000,1000,0,0,1,1,1000
direct_mmr,13,1000,1000,0,0,1,1,1000
direct_mmr,34,1000,1000,0,0,1,1,1000
direct_mmr,45,1000,1000,0,0,1,1,1000
direct_mmr,48,1000,1000,0,0,1,1,1000
query_expansion,9,20,20,0,0,1,1,20
query_expansion,13,20,20,0,0,1,1,20
query_expansion,34,20,20,0,0,1,1,20
query_expansion,45,20,20,0,0,1,1,20
query_expansion,48,20,20,0,0,1,1,20
query_expansion,9,50,50,0,0,1,1,50
query_expansion,13,50,50,0,0,1,1,50
query_expansion,34,50,50,0,0,1,1,50
query_expansion,45,50,50,0,0,1,1,50
query_expansion,48,50,50,0,0,1,1,50
query_expansion,9,100,100,0,0,1,1,100
query_expansion,13,100,100,0,0,1,1,100
query_expansion,34,100,100,0,0,1,1,100
query_expansion,45,100,100,0,0,1,1,100
query_expansion,48,100,100,0,0,1,1,100
query_expansion,9,1000,1000,0,0,1,1,1000
query_expansion,13,1000,1000,0,0,1,1,1000
query_expansion,34,1000,1000,0,0,1,1,1000
query_expansion,45,1000,1000,0,0,1,1,1000
query_expansion,48,1000,1000,0,0,1,1,1000
retrieval_random,9,20,4,16,16,0.2,0,1
retrieval_random,13,20,2,18,18,0.1,0,1
retrieval_random,34,20,5,15,15,0.25,0,0
retrieval_random,45,20,3,17,17,0.15,0,0
retrieval_random,48,20,4,16,16,0.2,0,1
retrieval_random,9,50,11,39,39,0.22,0,1
retrieval_random,13,50,7,43,43,0.14,0,1
retrieval_random,34,50,12,38,38,0.24,0,0
retrieval_random,45,50,10,40,40,0.2,0,0
retrieval_random,48,50,9,41,41,0.18,0,3
retrieval_random,9,100,19,81,81,0.19,0,2
retrieval_random,13,100,17,83,83,0.17,0,4
retrieval_random,34,100,19,81,81,0.19,0,0
retrieval_random,45,100,23,77,77,0.23,0,0
retrieval_random,48,100,17,83,83,0.17,0,3
retrieval_random,9,1000,185,815,815,0.185,0,19
retrieval_random,13,1000,204,796,796,0.204,0,8
retrieval_random,34,1000,190,810,810,0.19,0,6
retrieval_random,45,1000,188,812,812,0.188,0,1
retrieval_random,48,1000,184,816,816,0.184,0,4
