method,k,n_queries,total_shared,mean_overlap_fraction,n_identical_sets,n_same_sequence,total_same_positions
bm25,20,5,100,1,5,5,100
bm25,50,5,250,1,5,5,250
bm25,100,5,500,1,5,5,500
bm25,1000,5,5000,1,5,5,5000
mpnet,20,5,100,1,5,5,100
mpnet,50,5,250,1,5,5,250
mpnet,100,5,500,1,5,5,500
mpnet,1000,5,5000,1,5,5,5000
direct,20,5,100,1,5,5,100
direct,50,5,250,1,5,5,250
direct,100,5,500,1,5,5,500
direct,1000,5,5000,1,5,5,5000
uniform_random,20,5,100,1,5,5,100
uniform_random,50,5,250,1,5,5,250
uniform_random,100,5,500,1,5,5,500
uniform_random,1000,5,5000,1,5,5,5000
direct_minmax,20,5,100,1,5,5,100
direct_minmax,50,5,250,1,5,5,250
direct_minmax,100,5,500,1,5,5,500
direct_minmax,1000,5,5000,1,5,5,5000
direct_mmr,20,5,100,1,5,5,100
direct_mmr,50,5,250,1,5,5,250
direct_mmr,100,5,500,1,5,5,500
direct_mmr,1000,5,5000,1,5,5,5000
query_expansion,20,5,100,1,5,5,100
query_expansion,50,5,250,1,5,5,250
query_expansion,100,5,500,1,5,5,500
query_expansion,1000,5,5000,1,5,5,5000
retrieval_random,20,5,18,0.18,0,0,3
retrieval_random,50,5,49,0.196,0,0,5
retrieval_random,100,5,95,0.19,0,0,9
retrieval_random,1000,5,951,0.1902,0,0,38
