method,query_id,label_rule,precision_k,recall_k,n_qrel_relevant,n_observed_relevant_at_precision_k,n_observed_relevant_at_recall_k,observed_precision,observed_recall
bm25,9,strict_eq2,20,1000,92,2,59,0.1,0.641304347826
bm25,13,strict_eq2,20,1000,235,7,98,0.35,0.417021276596
bm25,34,strict_eq2,20,1000,104,5,36,0.25,0.346153846154
bm25,45,strict_eq2,20,1000,490,11,281,0.55,0.573469387755
bm25,48,strict_eq2,20,1000,257,15,142,0.75,0.552529182879
bm25,9,relaxed_ge1,20,1000,191,4,110,0.2,0.575916230366
bm25,13,relaxed_ge1,20,1000,867,16,246,0.8,0.283737024221
bm25,34,relaxed_ge1,20,1000,172,7,57,0.35,0.331395348837
bm25,45,relaxed_ge1,20,1000,806,18,505,0.9,0.626550868486
bm25,48,relaxed_ge1,20,1000,444,16,222,0.8,0.5
mpnet,9,strict_eq2,20,1000,92,4,34,0.2,0.369565217391
mpnet,13,strict_eq2,20,1000,235,0,54,0,0.229787234043
mpnet,34,strict_eq2,20,1000,104,2,19,0.1,0.182692307692
mpnet,45,strict_eq2,20,1000,490,4,210,0.2,0.428571428571
mpnet,48,strict_eq2,20,1000,257,15,136,0.75,0.529182879377
mpnet,9,relaxed_ge1,20,1000,191,6,51,0.3,0.267015706806
mpnet,13,relaxed_ge1,20,1000,867,4,157,0.2,0.181084198385
mpnet,34,relaxed_ge1,20,1000,172,3,32,0.15,0.186046511628
mpnet,45,relaxed_ge1,20,1000,806,19,401,0.95,0.497518610422
mpnet,48,relaxed_ge1,20,1000,444,18,190,0.9,0.427927927928
direct,9,strict_eq2,20,1000,92,5,63,0.25,0.684782608696
direct,13,strict_eq2,20,1000,235,9,113,0.45,0.48085106383
direct,34,strict_eq2,20,1000,104,5,47,0.25,0.451923076923
direct,45,strict_eq2,20,1000,490,9,275,0.45,0.561224489796
direct,48,strict_eq2,20,1000,257,19,166,0.95,0.645914396887
direct,9,relaxed_ge1,20,1000,191,9,117,0.45,0.612565445026
direct,13,relaxed_ge1,20,1000,867,16,296,0.8,0.341407151096
direct,34,relaxed_ge1,20,1000,172,8,75,0.4,0.436046511628
direct,45,relaxed_ge1,20,1000,806,19,503,0.95,0.624069478908
direct,48,relaxed_ge1,20,1000,444,20,257,1,0.578828828829
uniform_random,9,strict_eq2,20,1000,92,0,0,0,0
uniform_random,13,strict_eq2,20,1000,235,0,1,0,0.00425531914894
uniform_random,34,strict_eq2,20,1000,104,0,1,0,0.00961538461538
uniform_random,45,strict_eq2,20,1000,490,0,3,0,0.00612244897959
uniform_random,48,strict_eq2,20,1000,257,0,1,0,0.00389105058366
uniform_random,9,relaxed_ge1,20,1000,191,0,0,0,0
uniform_random,13,relaxed_ge1,20,1000,867,0,7,0,0.0080738177624
uniform_random,34,relaxed_ge1,20,1000,172,0,1,0,0.00581395348837
uniform_random,45,relaxed_ge1,20,1000,806,0,7,0,0.00868486352357
uniform_random,48,relaxed_ge1,20,1000,444,0,4,0,0.00900900900901
direct_minmax,9,strict_eq2,20,1000,92,5,64,0.25,0.695652173913
direct_minmax,13,strict_eq2,20,1000,235,9,113,0.45,0.48085106383
direct_minmax,34,strict_eq2,20,1000,104,5,47,0.25,0.451923076923
direct_minmax,45,strict_eq2,20,1000,490,10,275,0.5,0.561224489796
direct_minmax,48,strict_eq2,20,1000,257,19,166,0.95,0.645914396887
direct_minmax,9,relaxed_ge1,20,1000,191,9,118,0.45,0.61780104712
direct_minmax,13,relaxed_ge1,20,1000,867,16,298,0.8,0.343713956171
direct_minmax,34,relaxed_ge1,20,1000,172,8,74,0.4,0.43023255814
direct_minmax,45,relaxed_ge1,20,1000,806,19,504,0.95,0.625310173697
direct_minmax,48,relaxed_ge1,20,1000,444,20,257,1,0.578828828829
direct_mmr,9,strict_eq2,20,1000,92,1,19,0.05,0.20652173913
direct_mmr,13,strict_eq2,20,1000,235,0,19,0,0.0808510638298
direct_mmr,34,strict_eq2,20,1000,104,0,17,0,0.163461538462
direct_mmr,45,strict_eq2,20,1000,490,0,65,0,0.132653061224
direct_mmr,48,strict_eq2,20,1000,257,1,71,0.05,0.27626459144
direct_mmr,9,relaxed_ge1,20,1000,191,1,33,0.05,0.17277486911
direct_mmr,13,relaxed_ge1,20,1000,867,3,84,0.15,0.0968858131488
direct_mmr,34,relaxed_ge1,20,1000,172,0,22,0,0.127906976744
direct_mmr,45,relaxed_ge1,20,1000,806,1,123,0.05,0.152605459057
direct_mmr,48,relaxed_ge1,20,1000,444,1,112,0.05,0.252252252252
query_expansion,9,strict_eq2,20,1000,92,3,61,0.15,0.663043478261
query_expansion,13,strict_eq2,20,1000,235,8,110,0.4,0.468085106383
query_expansion,34,strict_eq2,20,1000,104,7,43,0.35,0.413461538462
query_expansion,45,strict_eq2,20,1000,490,10,219,0.5,0.44693877551
query_expansion,48,strict_eq2,20,1000,257,19,162,0.95,0.630350194553
query_expansion,9,relaxed_ge1,20,1000,191,7,115,0.35,0.602094240838
query_expansion,13,relaxed_ge1,20,1000,867,17,281,0.85,0.324106113033
query_expansion,34,relaxed_ge1,20,1000,172,10,69,0.5,0.401162790698
query_expansion,45,relaxed_ge1,20,1000,806,20,429,1,0.532258064516
query_expansion,48,relaxed_ge1,20,1000,444,20,248,1,0.558558558559
retrieval_random,9,strict_eq2,20,1000,92,4,10,0.2,0.108695652174
retrieval_random,13,strict_eq2,20,1000,235,6,37,0.3,0.157446808511
retrieval_random,34,strict_eq2,20,1000,104,3,15,0.15,0.144230769231
retrieval_random,45,strict_eq2,20,1000,490,9,98,0.45,0.2
retrieval_random,48,strict_eq2,20,1000,257,8,29,0.4,0.112840466926
retrieval_random,9,relaxed_ge1,20,1000,191,7,22,0.35,0.115183246073
retrieval_random,13,relaxed_ge1,20,1000,867,14,117,0.7,0.134948096886
retrieval_random,34,relaxed_ge1,20,1000,172,5,23,0.25,0.133720930233
retrieval_random,45,relaxed_ge1,20,1000,806,18,168,0.9,0.208436724566
retrieval_random,48,relaxed_ge1,20,1000,444,15,59,0.75,0.132882882883
