method,candidate_source,query_id,k,n_method_only,n_source_only,identical_sets,n_positions_changed,judged_count_delta,relevant_count_delta_strict,relevant_count_delta_relaxed
bm25_ce,bm25,1,1000,0,0,1,998,0,0,0
bm25_ce,bm25,2,1000,0,0,1,999,0,0,0
bm25_ce,bm25,3,1000,0,0,1,998,0,0,0
bm25_ce,bm25,4,1000,0,0,1,997,0,0,0
bm25_ce,bm25,5,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,6,1000,0,0,1,998,0,0,0
bm25_ce,bm25,7,1000,0,0,1,992,0,0,0
bm25_ce,bm25,8,1000,0,0,1,999,0,0,0
bm25_ce,bm25,9,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,10,1000,0,0,1,998,0,0,0
bm25_ce,bm25,11,1000,0,0,1,999,0,0,0
bm25_ce,bm25,12,1000,0,0,1,998,0,0,0
bm25_ce,bm25,13,1000,0,0,1,997,0,0,0
bm25_ce,bm25,14,1000,0,0,1,998,0,0,0
bm25_ce,bm25,15,1000,0,0,1,998,0,0,0
bm25_ce,bm25,16,1000,0,0,1,997,0,0,0
bm25_ce,bm25,17,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,18,1000,0,0,1,998,0,0,0
bm25_ce,bm25,19,1000,0,0,1,998,0,0,0
bm25_ce,bm25,20,1000,0,0,1,998,0,0,0
bm25_ce,bm25,21,1000,0,0,1,997,0,0,0
bm25_ce,bm25,22,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,23,1000,0,0,1,999,0,0,0
bm25_ce,bm25,24,1000,0,0,1,999,0,0,0
bm25_ce,bm25,25,1000,0,0,1,992,0,0,0
bm25_ce,bm25,26,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,27,1000,0,0,1,999,0,0,0
bm25_ce,bm25,28,1000,0,0,1,999,0,0,0
bm25_ce,bm25,29,1000,0,0,1,999,0,0,0
bm25_ce,bm25,30,1000,0,0,1,998,0,0,0
bm25_ce,bm25,31,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,32,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,33,1000,0,0,1,999,0,0,0
bm25_ce,bm25,34,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,35,1000,0,0,1,997,0,0,0
bm25_ce,bm25,36,1000,0,0,1,997,0,0,0
bm25_ce,bm25,37,1000,0,0,1,999,0,0,0
bm25_ce,bm25,38,1000,0,0,1,998,0,0,0
bm25_ce,bm25,39,1000,0,0,1,999,0,0,0
bm25_ce,bm25,40,1000,0,0,1,999,0,0,0
bm25_ce,bm25,41,1000,0,0,1,999,0,0,0
bm25_ce,bm25,42,1000,0,0,1,997,0,0,0
bm25_ce,bm25,43,1000,0,0,1,997,0,0,0
bm25_ce,bm25,44,1000,0,0,1,999,0,0,0
bm25_ce,bm25,45,1000,0,0,1,999,0,0,0
bm25_ce,bm25,46,1000,0,0,1,999,0,0,0
bm25_ce,bm25,47,1000,0,0,1,999,0,0,0
bm25_ce,bm25,48,1000,0,0,1,998,0,0,0
bm25_ce,bm25,49,1000,0,0,1,1000,0,0,0
bm25_ce,bm25,50,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,1,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,2,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,3,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,4,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,5,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,6,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,7,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,8,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,9,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,10,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,11,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,12,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,13,1000,0,0,1,996,0,0,0
direct_mmr_rerank,direct,14,1000,0,0,1,996,0,0,0
direct_mmr_rerank,direct,15,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,16,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,17,1000,0,0,1,997,0,0,0
direct_mmr_rerank,direct,18,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,19,1000,0,0,1,1000,0,0,0
direct_mmr_rerank,direct,20,1000,0,0,1,998,0,0,0
direct_mmr_rerank,direct,21,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,22,1000,0,0,1,999,0,0,0
direct_mmr_rerank,direct,23,1000,0,0,1,1000,0,0,0
