method,query_id,k,label_rule,n_observed_relevant,observed_precision
bm25,1,20,strict_eq2,3,0.15
bm25,2,20,strict_eq2,7,0.35
bm25,3,20,strict_eq2,4,0.2
bm25,4,20,strict_eq2,2,0.1
bm25,5,20,strict_eq2,7,0.35
bm25,6,20,strict_eq2,15,0.75
bm25,7,20,strict_eq2,13,0.65
bm25,8,20,strict_eq2,9,0.45
bm25,9,20,strict_eq2,2,0.1
bm25,10,20,strict_eq2,14,0.7
bm25,11,20,strict_eq2,8,0.4
bm25,12,20,strict_eq2,3,0.15
bm25,13,20,strict_eq2,7,0.35
bm25,14,20,strict_eq2,11,0.55
bm25,15,20,strict_eq2,2,0.1
bm25,16,20,strict_eq2,4,0.2
bm25,17,20,strict_eq2,7,0.35
bm25,18,20,strict_eq2,10,0.5
bm25,19,20,strict_eq2,5,0.25
bm25,20,20,strict_eq2,17,0.85
bm25,21,20,strict_eq2,7,0.35
bm25,22,20,strict_eq2,14,0.7
bm25,23,20,strict_eq2,15,0.75
bm25,24,20,strict_eq2,13,0.65
bm25,25,20,strict_eq2,3,0.15
bm25,26,20,strict_eq2,12,0.6
bm25,27,20,strict_eq2,16,0.8
bm25,28,20,strict_eq2,17,0.85
bm25,29,20,strict_eq2,13,0.65
bm25,30,20,strict_eq2,19,0.95
bm25,31,20,strict_eq2,2,0.1
bm25,32,20,strict_eq2,6,0.3
bm25,33,20,strict_eq2,8,0.4
bm25,34,20,strict_eq2,5,0.25
bm25,35,20,strict_eq2,9,0.45
bm25,36,20,strict_eq2,18,0.9
bm25,37,20,strict_eq2,9,0.45
bm25,38,20,strict_eq2,11,0.55
bm25,39,20,strict_eq2,17,0.85
bm25,40,20,strict_eq2,20,1
bm25,41,20,strict_eq2,15,0.75
bm25,42,20,strict_eq2,12,0.6
bm25,43,20,strict_eq2,13,0.65
bm25,44,20,strict_eq2,14,0.7
bm25,45,20,strict_eq2,11,0.55
bm25,46,20,strict_eq2,9,0.45
bm25,47,20,strict_eq2,4,0.2
bm25,48,20,strict_eq2,15,0.75
bm25,49,20,strict_eq2,3,0.15
bm25,50,20,strict_eq2,7,0.35
bm25,1,20,relaxed_ge1,11,0.55
bm25,2,20,relaxed_ge1,7,0.35
bm25,3,20,relaxed_ge1,7,0.35
bm25,4,20,relaxed_ge1,3,0.15
bm25,5,20,relaxed_ge1,16,0.8
bm25,6,20,relaxed_ge1,17,0.85
bm25,7,20,relaxed_ge1,14,0.7
bm25,8,20,relaxed_ge1,12,0.6
bm25,9,20,relaxed_ge1,4,0.2
bm25,10,20,relaxed_ge1,18,0.9
bm25,11,20,relaxed_ge1,10,0.5
bm25,12,20,relaxed_ge1,10,0.5
bm25,13,20,relaxed_ge1,16,0.8
bm25,14,20,relaxed_ge1,16,0.8
bm25,15,20,relaxed_ge1,4,0.2
bm25,16,20,relaxed_ge1,6,0.3
bm25,17,20,relaxed_ge1,12,0.6
bm25,18,20,relaxed_ge1,15,0.75
bm25,19,20,relaxed_ge1,14,0.7
bm25,20,20,relaxed_ge1,17,0.85
bm25,21,20,relaxed_ge1,9,0.45
bm25,22,20,relaxed_ge1,16,0.8
bm25,23,20,relaxed_ge1,16,0.8
bm25,24,20,relaxed_ge1,15,0.75
bm25,25,20,relaxed_ge1,3,0.15
bm25,26,20,relaxed_ge1,12,0.6
bm25,27,20,relaxed_ge1,17,0.85
bm25,28,20,relaxed_ge1,18,0.9
bm25,29,20,relaxed_ge1,17,0.85
bm25,30,20,relaxed_ge1,20,1
bm25,31,20,relaxed_ge1,4,0.2
bm25,32,20,relaxed_ge1,9,0.45
bm25,33,20,relaxed_ge1,14,0.7
bm25,34,20,relaxed_ge1,7,0.35
bm25,35,20,relaxed_ge1,9,0.45
bm25,36,20,relaxed_ge1,19,0.95
bm25,37,20,relaxed_ge1,16,0.8
bm25,38,20,relaxed_ge1,12,0.6
bm25,39,20,relaxed_ge1,20,1
bm25,40,20,relaxed_ge1,20,1
bm25,41,20,relaxed_ge1,15,0.75
bm25,42,20,relaxed_ge1,15,0.75
bm25,43,20,relaxed_ge1,16,0.8
bm25,44,20,relaxed_ge1,18,0.9
bm25,45,20,relaxed_ge1,18,0.9
bm25,46,20,relaxed_ge1,14,0.7
bm25,47,20,relaxed_ge1,6,0.3
bm25,48,20,relaxed_ge1,16,0.8
bm25,49,20,relaxed_ge1,7,0.35
bm25,50,20,relaxed_ge1,15,0.75
bm25,1,50,strict_eq2,6,0.12
bm25,2,50,strict_eq2,23,0.46
bm25,3,50,strict_eq2,12,0.24
bm25,4,50,strict_eq2,9,0.18
bm25,5,50,strict_eq2,13,0.26
bm25,6,50,strict_eq2,28,0.56
bm25,7,50,strict_eq2,31,0.62
bm25,8,50,strict_eq2,16,0.32
bm25,9,50,strict_eq2,9,0.18
bm25,10,50,strict_eq2,27,0.54
bm25,11,50,strict_eq2,12,0.24
bm25,12,50,strict_eq2,5,0.1
bm25,13,50,strict_eq2,16,0.32
bm25,14,50,strict_eq2,23,0.46
bm25,15,50,strict_eq2,3,0.06
bm25,16,50,strict_eq2,7,0.14
bm25,17,50,strict_eq2,17,0.34
bm25,18,50,strict_eq2,27,0.54
bm25,19,50,strict_eq2,8,0.16
bm25,20,50,strict_eq2,29,0.58
bm25,21,50,strict_eq2,24,0.48
bm25,22,50,strict_eq2,27,0.54
bm25,23,50,strict_eq2,26,0.52
bm25,24,50,strict_eq2,34,0.68
bm25,25,50,strict_eq2,6,0.12
