method,k,label_rule,n_queries,n_observed_relevant,mean_observed_precision
bm25,20,strict_eq2,50,487,0.487
bm25,20,relaxed_ge1,50,642,0.642
bm25,50,strict_eq2,50,1054,0.4216
bm25,50,relaxed_ge1,50,1453,0.5812
bm25,100,strict_eq2,50,1856,0.3712
bm25,100,relaxed_ge1,50,2594,0.5188
bm25,1000,strict_eq2,50,7293,0.14586
bm25,1000,relaxed_ge1,50,11011,0.22022
mpnet,20,strict_eq2,50,426,0.426
mpnet,20,relaxed_ge1,50,526,0.526
mpnet,50,strict_eq2,50,958,0.3832
mpnet,50,relaxed_ge1,50,1188,0.4752
mpnet,100,strict_eq2,50,1742,0.3484
mpnet,100,relaxed_ge1,50,2153,0.4306
mpnet,1000,strict_eq2,50,7172,0.14344
mpnet,1000,relaxed_ge1,50,9980,0.1996
direct,20,strict_eq2,50,630,0.63
direct,20,relaxed_ge1,50,797,0.797
direct,50,strict_eq2,50,1425,0.57
direct,50,relaxed_ge1,50,1846,0.7384
direct,100,strict_eq2,50,2444,0.4888
direct,100,relaxed_ge1,50,3252,0.6504
direct,1000,strict_eq2,50,8715,0.1743
direct,1000,relaxed_ge1,50,12986,0.25972
