method_a,method_b,query_id,k,judged_count_delta_a_minus_b,judged_fraction_delta_a_minus_b,hole_count_delta_a_minus_b,hole_fraction_delta_a_minus_b
mpnet,bm25,1,20,-15,-0.75,15,0.75
mpnet,bm25,2,20,-17,-0.85,17,0.85
mpnet,bm25,3,20,-13,-0.65,13,0.65
mpnet,bm25,4,20,-10,-0.5,10,0.5
mpnet,bm25,5,20,-10,-0.5,10,0.5
mpnet,bm25,6,20,-8,-0.4,8,0.4
mpnet,bm25,7,20,-10,-0.5,10,0.5
mpnet,bm25,8,20,-6,-0.3,6,0.3
mpnet,bm25,9,20,-7,-0.35,7,0.35
mpnet,bm25,10,20,-7,-0.35,7,0.35
mpnet,bm25,11,20,-10,-0.5,10,0.5
mpnet,bm25,12,20,-11,-0.55,11,0.55
mpnet,bm25,13,20,-15,-0.75,15,0.75
mpnet,bm25,14,20,-8,-0.4,8,0.4
mpnet,bm25,15,20,-12,-0.6,12,0.6
mpnet,bm25,16,20,2,0.1,-2,-0.1
mpnet,bm25,17,20,-8,-0.4,8,0.4
mpnet,bm25,18,20,-5,-0.25,5,0.25
mpnet,bm25,19,20,-3,-0.15,3,0.15
mpnet,bm25,20,20,1,0.05,-1,-0.05
mpnet,bm25,21,20,-12,-0.6,12,0.6
mpnet,bm25,22,20,-2,-0.1,2,0.1
mpnet,bm25,23,20,-2,-0.1,2,0.1
mpnet,bm25,24,20,-5,-0.25,5,0.25
mpnet,bm25,25,20,-5,-0.25,5,0.25
mpnet,bm25,26,20,-14,-0.7,14,0.7
mpnet,bm25,27,20,-2,-0.1,2,0.1
mpnet,bm25,28,20,-10,-0.5,10,0.5
mpnet,bm25,29,20,-7,-0.35,7,0.35
mpnet,bm25,30,20,-5,-0.25,5,0.25
mpnet,bm25,31,20,-17,-0.85,17,0.85
mpnet,bm25,32,20,-17,-0.85,17,0.85
mpnet,bm25,33,20,-9,-0.45,9,0.45
mpnet,bm25,34,20,-7,-0.35,7,0.35
mpnet,bm25,35,20,-16,-0.8,16,0.8
mpnet,bm25,36,20,-3,-0.15,3,0.15
mpnet,bm25,37,20,0,0,0,0
mpnet,bm25,38,20,-8,-0.4,8,0.4
mpnet,bm25,39,20,0,0,0,0
mpnet,bm25,40,20,0,0,0,0
mpnet,bm25,41,20,-1,-0.05,1,0.05
mpnet,bm25,42,20,0,0,0,0
mpnet,bm25,43,20,0,0,0,0
mpnet,bm25,44,20,0,0,0,0
mpnet,bm25,45,20,0,0,0,0
mpnet,bm25,46,20,0,0,0,0
mpnet,bm25,47,20,-5,-0.25,5,0.25
mpnet,bm25,48,20,1,0.05,-1,-0.05
mpnet,bm25,49,20,-7,-0.35,7,0.35
mpnet,bm25,50,20,-6,-0.3,6,0.3
mpnet,bm25,1,50,-27,-0.54,27,0.54
mpnet,bm25,2,50,-46,-0.92,46,0.92
mpnet,bm25,3,50,-33,-0.66,33,0.66
mpnet,bm25,4,50,-23,-0.46,23,0.46
mpnet,bm25,5,50,-24,-0.48,24,0.48
mpnet,bm25,6,50,-14,-0.28,14,0.28
mpnet,bm25,7,50,-16,-0.32,16,0.32
mpnet,bm25,8,50,-16,-0.32,16,0.32
mpnet,bm25,9,50,-15,-0.3,15,0.3
mpnet,bm25,10,50,-6,-0.12,6,0.12
mpnet,bm25,11,50,-23,-0.46,23,0.46
mpnet,bm25,12,50,-22,-0.44,22,0.44
mpnet,bm25,13,50,-37,-0.74,37,0.74
mpnet,bm25,14,50,-31,-0.62,31,0.62
mpnet,bm25,15,50,-26,-0.52,26,0.52
mpnet,bm25,16,50,5,0.1,-5,-0.1
mpnet,bm25,17,50,-17,-0.34,17,0.34
mpnet,bm25,18,50,-14,-0.28,14,0.28
mpnet,bm25,19,50,-8,-0.16,8,0.16
mpnet,bm25,20,50,-1,-0.02,1,0.02
mpnet,bm25,21,50,-25,-0.5,25,0.5
mpnet,bm25,22,50,-13,-0.26,13,0.26
mpnet,bm25,23,50,0,0,0,0
mpnet,bm25,24,50,-19,-0.38,19,0.38
mpnet,bm25,25,50,-3,-0.06,3,0.06
mpnet,bm25,26,50,-20,-0.4,20,0.4
mpnet,bm25,27,50,-16,-0.32,16,0.32
mpnet,bm25,28,50,-18,-0.36,18,0.36
mpnet,bm25,29,50,-23,-0.46,23,0.46
mpnet,bm25,30,50,-10,-0.2,10,0.2
mpnet,bm25,31,50,-42,-0.84,42,0.84
mpnet,bm25,32,50,-46,-0.92,46,0.92
mpnet,bm25,33,50,-23,-0.46,23,0.46
mpnet,bm25,34,50,-5,-0.1,5,0.1
mpnet,bm25,35,50,-36,-0.72,36,0.72
mpnet,bm25,36,50,-12,-0.24,12,0.24
mpnet,bm25,37,50,-1,-0.02,1,0.02
mpnet,bm25,38,50,-14,-0.28,14,0.28
mpnet,bm25,39,50,-1,-0.02,1,0.02
mpnet,bm25,40,50,0,0,0,0
mpnet,bm25,41,50,-3,-0.06,3,0.06
mpnet,bm25,42,50,0,0,0,0
mpnet,bm25,43,50,-10,-0.2,10,0.2
mpnet,bm25,44,50,0,0,0,0
mpnet,bm25,45,50,-6,-0.12,6,0.12
mpnet,bm25,46,50,-15,-0.3,15,0.3
mpnet,bm25,47,50,-10,-0.2,10,0.2
mpnet,bm25,48,50,14,0.28,-14,-0.28
mpnet,bm25,49,50,-21,-0.42,21,0.42
mpnet,bm25,50,50,-4,-0.08,4,0.08
mpnet,bm25,1,100,-40,-0.4,40,0.4
mpnet,bm25,2,100,-65,-0.65,65,0.65
mpnet,bm25,3,100,-53,-0.53,53,0.53
mpnet,bm25,4,100,-41,-0.41,41,0.41
mpnet,bm25,5,100,-35,-0.35,35,0.35
mpnet,bm25,6,100,-25,-0.25,25,0.25
mpnet,bm25,7,100,-29,-0.29,29,0.29
mpnet,bm25,8,100,-29,-0.29,29,0.29
mpnet,bm25,9,100,-39,-0.39,39,0.39
mpnet,bm25,10,100,-10,-0.1,10,0.1
mpnet,bm25,11,100,-59,-0.59,59,0.59
mpnet,bm25,12,100,-47,-0.47,47,0.47
mpnet,bm25,13,100,-64,-0.64,64,0.64
mpnet,bm25,14,100,-72,-0.72,72,0.72
mpnet,bm25,15,100,-39,-0.39,39,0.39
mpnet,bm25,16,100,5,0.05,-5,-0.05
mpnet,bm25,17,100,-25,-0.25,25,0.25
mpnet,bm25,18,100,-13,-0.13,13,0.13
mpnet,bm25,19,100,-23,-0.23,23,0.23
mpnet,bm25,20,100,-3,-0.03,3,0.03
mpnet,bm25,21,100,-43,-0.43,43,0.43
mpnet,bm25,22,100,-31,-0.31,31,0.31
mpnet,bm25,23,100,3,0.03,-3,-0.03
mpnet,bm25,24,100,-31,-0.31,31,0.31
mpnet,bm25,25,100,-10,-0.1,10,0.1
mpnet,bm25,26,100,-39,-0.39,39,0.39
mpnet,bm25,27,100,-48,-0.48,48,0.48
mpnet,bm25,28,100,-24,-0.24,24,0.24
mpnet,bm25,29,100,-52,-0.52,52,0.52
mpnet,bm25,30,100,-14,-0.14,14,0.14
mpnet,bm25,31,100,-79,-0.79,79,0.79
mpnet,bm25,32,100,-67,-0.67,67,0.67
mpnet,bm25,33,100,-43,-0.43,43,0.43
mpnet,bm25,34,100,-24,-0.24,24,0.24
